"","australia","austria","belgium","canada","denmark","finland","france","germany","honkong","ireland","italy","japan","malaysia","netherlands","newzealand","norway","singapore","spain","sweden","switzerland","uk","usa"
"198802",1,0,25,7,4,2,21,16,2,-1,6,8,-5,4,-16,8,-2,1,4,6,0,4
"198803",17,5,4,5,2,9,-6,0,6,9,4,8,6,4,22,13,6,9,7,-2,5,-3
"198804",6,1,1,2,0,1,9,-2,2,1,-2,1,9,3,2,4,6,0,3,-1,3,1
"198805",15,-5,-5,-4,9,6,7,-1,-3,11,-11,-5,3,-5,3,-5,2,1,3,-3,-3,1
"198806",-3,-3,1,8,0,-1,1,0,8,0,4,-4,12,1,-3,1,9,0,-5,1,-3,5
"198807",6,3,-5,-2,-1,-1,-3,1,2,-1,3,5,0,3,2,-1,2,-3,3,-2,1,0
"198808",-3,1,0,-5,-5,-6,-3,-1,-8,-8,-3,-8,-11,-4,-7,-10,-9,-5,-6,-2,-7,-3
"198809",-3,2,10,2,9,-4,10,7,1,1,7,4,2,2,-5,5,0,0,6,3,5,4
"198810",7,12,9,3,14,9,11,11,8,7,12,8,3,7,4,7,4,8,9,11,8,3
"198811",-2,2,3,0,5,8,2,-1,3,-7,2,9,1,0,-4,7,0,1,3,2,1,-2
"198812",-1,-2,2,3,8,-4,4,3,2,1,0,1,2,3,-5,10,4,-2,5,0,-2,2
"198901",9,-2,0,8,0,-2,1,-5,14,4,-3,0,8,2,5,13,10,0,5,-3,11,8
"198902",-15,6,-2,-3,-2,3,-2,0,-1,6,-2,2,0,0,0,3,0,-3,3,2,-3,-3
"198903",2,10,-1,1,1,5,1,-2,0,-3,1,-3,4,3,-1,7,4,1,3,-1,1,2
"198904",2,8,3,3,7,5,4,5,5,7,1,0,10,5,4,8,6,5,1,3,1,5
"198905",-2,-3,-4,1,-3,-6,-3,-3,-11,-7,-5,-6,-1,-5,-8,-5,2,-4,-1,-7,-7,4
"198906",1,6,1,2,15,-3,2,8,-18,-4,10,-4,0,4,2,1,1,1,6,15,1,0
"198907",9,7,5,8,9,4,11,10,13,16,11,13,5,9,5,4,6,5,12,13,15,9
"198908",9,17,-2,2,-10,-8,-1,-1,-3,1,2,-7,-1,-1,28,0,-3,2,-1,0,-2,2
"198909",0,14,9,-2,3,-6,6,4,12,4,-1,6,8,3,-5,2,2,5,-1,0,-1,0
"198910",-4,-8,-4,0,6,-4,-5,-5,-1,-3,-8,-3,-4,-3,-8,-12,-4,-5,-7,-5,-9,-2
"198911",-2,-2,7,1,8,-7,6,10,1,6,5,5,7,6,-1,8,5,0,-1,5,5,2
