exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
JAN2001,1.8012,1.9561,1.5032,8.2776,7.9629,7.7998,46.61,116.67,1272.63,3.8000,9.769,2.2512,8.7817,1.7380,7.7786,85.833,9.4910,1.6305,32.673,43.149,0.6768,0.70,1.0666
FEB2001,1.8734,2.0060,1.5216,8.2771,8.1103,7.7999,46.56,116.23,1252.85,3.8000,9.711,2.3015,8.9180,1.7435,7.8214,87.136,9.7518,1.6686,32.330,42.665,0.6885,0.70,1.0864
MAR2001,1.9877,2.0955,1.5587,8.2775,8.2229,7.7999,46.65,121.51,1291.41,3.8000,9.599,2.3912,8.9859,1.7732,7.8980,85.730,10.0516,1.6908,32.622,43.988,0.6923,0.71,1.1010
APR2001,1.9936,2.1934,1.5578,8.2771,8.3657,7.7993,46.79,123.77,1327.76,3.8000,9.328,2.4576,9.0920,1.8118,8.0783,88.205,10.2035,1.7131,32.941,45.494,0.6970,0.71,1.1204
MAY2001,1.9234,2.2926,1.5411,8.2770,8.5256,7.7999,46.95,121.77,1298.90,3.8000,9.148,2.3708,9.1380,1.8141,7.9789,90.848,10.3513,1.7528,33.203,45.525,0.7010,0.71,1.1425
JUN2001,1.9305,2.3788,1.5245,8.2770,8.7397,7.7997,47.04,122.35,1295.05,3.8000,9.088,2.4149,9.3014,1.8170,8.0595,90.371,10.7930,1.7856,34.328,45.263,0.7133,0.72,1.1723
JUL2001,1.9650,2.4731,1.5308,8.2769,8.6442,7.7999,47.18,124.50,1305.24,3.8000,9.168,2.4504,9.2566,1.8233,8.2094,90.314,10.7603,1.7570,34.821,45.641,0.7068,0.72,1.1608
AUG2001,1.9062,2.5122,1.5399,8.2770,8.2632,7.7997,47.17,121.37,1285.65,3.8000,9.133,2.3180,8.9427,1.7613,8.3115,89.994,10.3329,1.6808,34.639,44.907,0.6958,0.73,1.1094
SEP2001,1.9857,2.6767,1.5679,8.2768,8.1654,7.7997,47.75,118.61,1293.83,3.8000,9.425,2.3964,8.7691,1.7494,8.6756,90.157,10.6353,1.6338,34.585,44.331,0.6832,0.74,1.0972
OCT2001,1.9833,2.7408,1.5717,8.2768,8.2186,7.7999,48.05,121.45,1302.36,3.8001,9.339,2.4160,8.8329,1.8113,9.2804,90.954,10.5661,1.6357,34.583,44.750,0.6896,0.74,1.1050
NOV2001,1.9361,2.5481,1.5922,8.2769,8.3832,7.7996,48.04,122.41,1282.10,3.8000,9.225,2.4050,8.9296,1.8295,9.7388,92.670,10.6117,1.6509,34.498,44.411,0.6966,0.75,1.1257
DEC2001,1.9463,2.3635,1.5788,8.2764,8.3526,7.7989,47.93,127.59,1292.29,3.8000,9.157,2.4056,8.9713,1.8382,11.6761,93.194,10.5753,1.6566,34.682,43.952,0.6938,0.75,1.1221
JAN2002,1.9342,2.3799,1.5997,8.2771,8.4183,7.7989,48.35,132.68,1316.34,3.8000,9.164,2.3557,8.9684,1.8394,11.6258,93.473,10.4561,1.6709,35.027,44.036,0.6982,0.76,1.1322
FEB2002,1.9501,2.4242,1.5964,8.2767,8.5343,7.7996,48.72,133.64,1320.55,3.8002,9.105,2.3883,8.9492,1.8312,11.4923,93.650,10.5501,1.6970,35.073,43.854,0.7029,0.90,1.1485
MAR2002,1.9026,2.3450,1.5877,8.2773,8.4795,7.7997,48.77,131.06,1322.90,3.8000,9.064,2.3079,8.8072,1.8295,11.4863,94.903,10.3324,1.6743,35.020,43.415,0.7027,0.92,1.1408
APR2002,1.8685,2.3227,1.5815,8.2772,8.3942,7.8000,48.94,130.77,1318.09,3.8000,9.165,2.2584,8.6102,1.8285,11.0832,96.030,10.3070,1.6542,34.917,43.442,0.6930,0.87,1.1287
MAY2002,1.8188,2.4753,1.5502,8.2770,8.1098,7.7994,49.02,126.38,1262.20,3.8000,9.510,2.1692,8.2050,1.8004,10.1615,96.318,10.0642,1.5889,34.454,42.817,0.6850,0.99,1.0905
JUN2002,1.7599,2.7144,1.5318,8.2767,7.7775,7.8000,48.98,123.29,1219.70,3.8000,9.767,2.0467,7.7533,1.7831,10.1841,96.408,9.5376,1.5399,33.889,42.160,0.6740,1.21,1.0459
JUL2002,1.8057,2.9414,1.5456,8.2768,7.4807,7.8000,48.79,117.90,1179.99,3.8000,9.779,2.0794,7.4694,1.7524,10.1032,96.266,9.3474,1.4718,33.272,41.257,0.6425,1.32,1.0065
AUG2002,1.8474,3.1082,1.5694,8.2767,7.5948,7.8000,48.62,118.99,1197.51,3.8000,9.839,2.1575,7.6042,1.7553,10.5878,96.281,9.4610,1.4972,33.884,42.193,0.6507,1.38,1.0224
SEP2002,1.8298,3.3548,1.5761,8.2770,7.5752,7.7999,48.46,121.08,1211.61,3.8000,10.071,2.1268,7.5018,1.7682,10.5967,96.207,9.3400,1.4931,34.573,42.893,0.6425,1.46,1.0198
OCT2002,1.8175,3.7966,1.5780,8.2772,7.5732,7.7995,48.39,123.91,1240.19,3.8000,10.094,2.0756,7.4873,1.7843,10.3058,96.402,9.2846,1.4932,34.947,43.641,0.6421,1.44,1.0192
NOV2002,1.7816,3.5924,1.5715,8.2772,7.4201,7.7994,48.29,121.61,1210.20,3.8000,10.195,2.0109,7.3157,1.7653,9.6509,96.426,9.0652,1.4658,34.673,43.353,0.6365,1.36,0.9987
DEC2002,1.7781,3.6268,1.5592,8.2777,7.2874,7.7988,48.15,121.89,1206.61,3.8000,10.225,1.9577,7.1557,1.7532,8.9479,96.705,8.9303,1.4388,34.799,43.318,0.6304,1.33,0.9810
JAN2003,1.7156,3.4375,1.5414,8.2775,6.9980,7.7994,47.96,118.81,1176.45,3.8000,10.622,1.8525,6.9138,1.7363,8.6949,96.813,8.6368,1.3765,34.571,42.773,0.6182,1.71,0.9414
FEB2003,1.6790,3.5955,1.5121,8.2780,6.8920,7.7995,47.75,119.34,1190.37,3.8000,10.945,1.8054,7.0004,1.7451,8.2858,96.880,8.4837,1.3602,34.734,42.897,0.6219,1.65,0.9272
MAR2003,1.6625,3.4567,1.4761,8.2773,6.8807,7.7991,47.68,118.69,1237.20,3.8000,10.905,1.8060,7.2760,1.7551,8.0506,96.943,8.5440,1.3614,34.722,42.783,0.6319,1.60,0.9262
APR2003,1.6393,3.1090,1.4582,8.2772,6.8381,7.7996,47.39,119.90,1231.10,3.8000,10.589,1.8123,7.2032,1.7771,7.6634,97.004,8.4314,1.3783,34.824,42.929,0.6354,1.60,0.9206
MAY2003,1.5461,2.9517,1.3840,8.2769,6.4268,7.7991,47.11,117.37,1201.23,3.8000,10.253,1.7373,6.8145,1.7357,7.6604,97.231,7.9213,1.3111,34.697,42.217,0.6164,1.60,0.8654
JUN2003,1.5033,2.8887,1.3525,8.2771,6.3620,7.7988,46.70,118.33,1194.14,3.8000,10.503,1.7197,7.0093,1.7351,7.8588,97.236,7.8116,1.3196,34.633,41.675,0.6021,1.60,0.8566
JUL2003,1.5135,2.8833,1.3821,8.2773,6.5425,7.7992,46.22,118.70,1181.16,3.8000,10.458,1.7053,7.2924,1.7551,7.5458,97.153,8.0929,1.3611,34.397,41.808,0.6165,1.60,0.8799
AUG2003,1.5342,3.0053,1.3963,8.2770,6.6653,7.7993,45.96,118.66,1178.60,3.8000,10.783,1.7156,7.4096,1.7533,7.3945,96.975,8.2821,1.3811,34.318,41.656,0.6274,1.60,0.8965
SEP2003,1.5072,2.9204,1.3634,8.2772,6.5953,7.7850,45.85,114.80,1165.40,3.8000,10.923,1.7114,7.2782,1.7466,7.3060,95.284,8.0426,1.3743,33.995,40.483,0.6190,1.60,0.8875
OCT2003,1.4393,2.8628,1.3221,8.2768,6.3449,7.7427,45.40,109.50,1169.34,3.8000,11.180,1.6611,7.0331,1.7345,6.9644,94.560,7.6957,1.3222,33.875,39.761,0.5955,1.60,0.8537
NOV2003,1.3970,2.9150,1.3130,8.2769,6.3526,7.7637,45.55,109.18,1186.39,3.8000,11.149,1.5911,7.0054,1.7282,6.7205,96.011,7.6799,1.3318,34.036,39.935,0.5918,1.60,0.8540
DEC2003,1.3530,2.9255,1.3128,8.2770,6.0537,7.7645,45.57,107.74,1192.34,3.8000,11.252,1.5454,6.7128,1.7107,6.5374,96.413,7.3395,1.2643,34.056,39.745,0.5709,1.60,0.8131
JAN2004,1.2958,2.8533,1.2958,8.2770,5.8952,7.7663,45.46,106.27,1183.35,3.8000,10.920,1.4841,6.8117,1.6965,6.9398,98.009,7.2334,1.2391,33.669,39.124,0.5478,1.60,0.7913
FEB2004,1.2870,2.9342,1.3299,8.2771,5.8956,7.7748,45.27,106.71,1167.53,3.8000,11.032,1.4459,6.9508,1.6869,6.7542,98.507,7.2630,1.2448,33.214,39.116,0.5355,1.82,0.7911
MAR2004,1.3340,2.9067,1.3286,8.2771,6.0757,7.7930,44.97,108.52,1166.29,3.8000,11.019,1.5135,6.9598,1.6996,6.6140,97.522,7.5322,1.2778,33.252,39.470,0.5476,1.92,0.8156
APR2004,1.3435,2.9079,1.3420,8.2769,6.2104,7.7970,43.89,107.66,1152.86,3.8000,11.270,1.5588,6.9263,1.6849,6.5747,98.132,7.6496,1.2969,32.971,39.453,0.5546,1.92,0.8341
MAY2004,1.4207,3.1023,1.3789,8.2771,6.2021,7.7971,45.18,112.20,1177.88,3.8000,11.520,1.6258,6.8428,1.7124,6.7996,98.929,7.6097,1.2839,33.444,40.560,0.5599,1.92,0.8333
JUN2004,1.4415,3.1293,1.3578,8.2767,6.1220,7.7980,45.50,109.43,1159.02,3.8000,11.393,1.5913,6.8279,1.7136,6.4216,100.930,7.5323,1.2503,33.568,40.827,0.5471,1.92,0.8233
JUL2004,1.3965,3.0384,1.3225,8.2767,6.0631,7.8000,46.06,109.49,1158.70,3.8000,11.468,1.5463,6.9126,1.7121,6.1350,102.998,7.5027,1.2452,33.806,40.982,0.5424,1.92,0.8153
AUG2004,1.4063,3.0018,1.3127,8.2768,6.1007,7.7997,46.32,110.23,1158.03,3.8000,11.395,1.5242,6.8369,1.7145,6.4667,103.436,7.5362,1.2623,34.023,41.521,0.5494,1.92,0.8203
SEP2004,1.4229,2.8914,1.2881,8.2767,6.0866,7.7995,46.05,110.09,1148.72,3.8000,11.487,1.5165,6.8416,1.6948,6.5349,103.326,7.4356,1.2629,33.893,41.474,0.5575,1.92,0.8181
OCT2004,1.3630,2.8520,1.2469,8.2765,5.9486,7.7889,45.74,108.78,1141.57,3.8000,11.404,1.4607,6.5809,1.6767,6.3815,103.885,7.2453,1.2330,33.775,41.294,0.5532,1.92,0.7996
NOV2004,1.2980,2.7877,1.1968,8.2765,5.7178,7.7755,45.03,104.70,1086.44,3.8000,11.371,1.4267,6.2700,1.6505,6.0305,104.632,6.9257,1.1711,32.777,40.282,0.5374,1.92,0.7694
DEC2004,1.3029,2.7150,1.2189,8.2765,5.5449,7.7760,43.85,103.81,1050.37,3.8000,11.201,1.3988,6.1355,1.6402,5.7235,104.748,6.6969,1.1465,32.170,39.184,0.5185,1.92,0.7459
JAN2005,1.3041,2.6895,1.2248,8.2765,5.6699,7.7948,43.62,103.34,1037.98,3.8000,11.263,1.4154,6.2672,1.6377,5.9587,98.929,6.8991,1.1792,31.847,38.739,0.5320,1.92,0.7620
FEB2005,1.2801,2.5971,1.2401,8.2765,5.7195,7.7994,43.58,104.94,1023.11,3.8000,11.137,1.3976,6.3960,1.6381,6.0001,99.273,6.9800,1.1918,31.498,38.446,0.5299,1.92,0.7685
MAR2005,1.2742,2.7061,1.2160,8.2765,5.6488,7.7994,43.59,105.25,1007.78,3.8000,11.155,1.3699,6.2116,1.6308,6.0328,99.390,6.8954,1.1756,31.106,38.594,0.5251,2.12,0.7584
APR2005,1.2923,2.5760,1.2359,8.2765,5.7554,7.7984,43.64,107.19,1010.07,3.8000,11.112,1.3872,6.3147,1.6511,6.1469,99.671,7.0814,1.1954,31.480,39.521,0.5274,2.14,0.7726
MAY2005,1.3050,2.4554,1.2555,8.2765,5.8628,7.7914,43.41,106.60,1001.84,3.8000,10.976,1.3906,6.3656,1.6507,6.3267,99.791,7.2382,1.2172,31.265,39.801,0.5388,2.14,0.7876
JUN2005,1.3043,2.4148,1.2402,8.2765,6.1247,7.7755,43.52,108.75,1012.46,3.8000,10.820,1.4118,6.4936,1.6723,6.7396,99.946,7.6229,1.2665,31.347,40.917,0.5501,2.14,0.8227
JUL2005,1.3291,2.3702,1.2229,8.2264,6.1943,7.7751,43.43,111.95,1036.56,3.7872,10.672,1.4730,6.5783,1.6815,6.6966,100.283,7.8263,1.2945,31.886,41.700,0.5712,2.14,0.8305
AUG2005,1.3134,2.3609,1.2043,8.1017,6.0665,7.7709,43.55,110.61,1021.68,3.7589,10.686,1.4376,6.4367,1.6623,6.4599,100.738,7.5951,1.2629,32.076,41.132,0.5573,2.14,0.8133
SEP2005,1.3070,2.2949,1.1777,8.0919,6.0973,7.7618,43.85,111.24,1029.84,3.7689,10.786,1.4312,6.3830,1.6820,6.3661,101.332,7.6300,1.2671,32.925,41.041,0.5536,2.14,0.8174
OCT2005,1.3271,2.2536,1.1774,8.0895,6.2064,7.7559,44.76,114.87,1045.88,3.7735,10.835,1.4320,6.5103,1.6915,6.5878,101.485,7.8433,1.2880,33.468,40.895,0.5665,2.14,0.8318
NOV2005,1.3600,2.2109,1.1815,8.0840,6.3277,7.7538,45.63,118.45,1040.76,3.7782,10.672,1.4499,6.6399,1.6981,6.6554,101.800,8.1157,1.3110,33.580,41.097,0.5764,2.14,0.8482
DEC2005,1.3472,2.2809,1.1615,8.0755,6.2844,7.7531,45.56,118.46,1022.38,3.7780,10.627,1.4395,6.7242,1.6738,6.3480,101.977,7.9518,1.3053,33.286,41.076,0.5728,2.14,0.8431
JAN2006,1.3324,2.2666,1.1572,8.0654,6.1530,7.7537,44.20,115.48,981.44,3.7530,10.542,1.4552,6.6287,1.6310,6.0760,102.016,7.6697,1.2773,32.035,39.519,0.5654,2.14,0.8247
FEB2006,1.3481,2.1587,1.1489,8.0512,6.2514,7.7593,44.23,117.86,969.84,3.7276,10.484,1.4848,6.7526,1.6286,6.1153,102.194,7.8226,1.3052,32.319,39.343,0.5721,2.14,0.8375
MAR2006,1.3763,2.1528,1.1573,8.0350,6.2025,7.7591,44.34,117.28,974.71,3.7040,10.749,1.5768,6.6317,1.6211,6.2436,102.648,7.8109,1.3050,32.459,38.947,0.5733,2.14,0.8314
APR2006,1.3570,2.1281,1.1441,8.0143,6.0798,7.7561,44.82,117.07,952.60,3.6626,11.049,1.6077,6.3922,1.6008,6.0811,102.635,7.6005,1.2830,32.288,37.952,0.5656,2.14,0.8148
MAY2006,1.3091,2.1697,1.1100,8.0131,5.8398,7.7538,45.20,111.73,940.82,3.6091,11.091,1.5845,6.1040,1.5755,6.3128,102.838,7.3050,1.2190,31.737,37.947,0.5351,2.14,0.7833
JUN2006,1.3515,2.2493,1.1137,8.0042,5.8897,7.7636,45.89,114.63,954.45,3.6638,11.393,1.6155,6.2070,1.5912,6.9738,103.525,7.2949,1.2321,32.440,38.349,0.5424,2.14,0.7898
JUL2006,1.3284,2.1883,1.1294,7.9897,5.8826,7.7734,46.37,115.77,950.81,3.6679,10.983,1.6186,6.2617,1.5837,7.0688,103.957,7.2654,1.2376,32.617,37.969,0.5422,2.14,0.7886
AUG2006,1.3104,2.1553,1.1182,7.9722,5.8236,7.7762,46.45,115.92,960.95,3.6730,10.874,1.5753,6.2423,1.5754,6.9503,103.669,7.1890,1.2318,32.761,37.587,0.5280,2.14,0.7806
SEP2006,1.3247,2.1679,1.1161,7.9334,5.8633,7.7825,46.01,117.21,952.29,3.6699,10.989,1.5265,6.5008,1.5803,7.4465,102.595,7.2844,1.2455,32.904,37.427,0.5308,2.14,0.7860
OCT2006,1.3256,2.1458,1.1285,7.9018,5.9085,7.7849,45.36,118.61,952.64,3.6762,10.885,1.5103,6.6591,1.5775,7.6300,105.718,7.3338,1.2602,33.194,37.281,0.5329,2.14,0.7926
NOV2006,1.2940,2.1555,1.1359,7.8622,5.7858,7.7816,44.73,117.32,935.41,3.6413,10.913,1.4941,6.3991,1.5558,7.2455,107.720,7.0612,1.2356,32.808,36.501,0.5229,2.14,0.7759
DEC2006,1.2726,2.1476,1.1532,7.8219,5.6452,7.7733,44.48,117.32,924.98,3.5477,10.855,1.4424,6.1826,1.5401,7.0345,107.791,6.8398,1.2099,32.512,35.694,0.5095,2.14,0.7573
JAN2007,1.2778,2.1376,1.1763,7.7876,5.7364,7.8000,44.21,120.45,936.76,3.5065,10.956,1.4395,6.3656,1.5373,7.1898,108.522,6.9901,1.2431,32.770,35.189,0.5105,2.14,0.7696
FEB2007,1.2771,2.0939,1.1710,7.7502,5.6981,7.8114,44.02,120.50,936.90,3.4949,10.995,1.4422,6.1860,1.5333,7.1755,108.684,7.0200,1.2393,32.968,33.888,0.5105,2.14,0.7645
MAR2007,1.2607,2.0883,1.1682,7.7369,5.6232,7.8132,43.79,117.26,942.88,3.4894,11.114,1.4296,6.1401,1.5242,7.3525,109.294,7.0171,1.2178,33.010,32.642,0.5135,2.14,0.7549
APR2007,1.2088,2.0302,1.1350,7.7247,5.5155,7.8154,42.02,118.93,930.69,3.4364,10.980,1.3615,6.0098,1.5150,7.1026,109.360,6.8371,1.2124,33.145,32.421,0.5030,2.14,0.7400
MAY2007,1.2115,1.9836,1.0951,7.6773,5.5120,7.8187,40.57,120.77,927.56,3.4002,10.822,1.3635,6.0220,1.5231,7.0148,110.800,6.8094,1.2211,33.278,32.818,0.5040,2.14,0.7398
JUN2007,1.1872,1.9323,1.0651,7.6333,5.5463,7.8142,40.59,122.69,927.87,3.4444,10.833,1.3210,5.9980,1.5367,7.1515,110.966,6.9485,1.2330,32.974,32.318,0.5033,2.14,0.7451
JUL2007,1.1525,1.8812,1.0502,7.5757,5.4199,7.8197,40.27,121.41,918.12,3.4397,10.815,1.2719,5.7807,1.5156,6.9730,111.672,6.6933,1.2069,32.810,30.387,0.4913,2.14,0.7285
AUG2007,1.2061,1.9620,1.0579,7.5734,5.4621,7.8155,40.68,116.73,934.48,3.4826,11.044,1.3776,5.8492,1.5226,7.2153,112.184,6.8429,1.2027,32.962,31.796,0.4973,2.14,0.7339
SEP2007,1.1819,1.9023,1.0267,7.5210,5.3563,7.7824,40.17,115.04,928.60,3.4691,11.032,1.3912,5.6256,1.5110,7.1007,113.342,6.6713,1.1852,33.010,32.057,0.4954,2.14,0.7189
OCT2007,1.1116,1.7987,0.9754,7.5019,5.2363,7.7545,39.37,115.87,914.94,3.3735,10.821,1.3153,5.4023,1.4650,6.7574,112.858,6.4439,1.1741,32.547,31.525,0.4890,2.14,0.7026
NOV2007,1.1159,1.7669,0.9672,7.4210,5.0766,7.7774,39.33,111.07,918.81,3.3588,10.881,1.3104,5.4156,1.4466,6.7049,110.418,6.3242,1.1233,32.328,31.348,0.4831,2.14,0.6811
DEC2007,1.1469,1.7852,1.0021,7.3682,5.1235,7.7983,39.38,112.45,931.10,3.3324,10.846,1.3004,5.5000,1.4487,6.8376,108.891,6.4764,1.1402,32.412,30.158,0.4960,2.14,0.6869
JAN2008,1.1334,1.7710,1.0099,7.2405,5.0575,7.8044,39.27,107.82,942.06,3.2653,10.906,1.2920,5.3993,1.4299,6.9962,108.156,6.3978,1.1006,32.359,30.305,0.5076,2.14,0.6790
