"","Name","NameLen","Style","Price","Cancellation","Stars","Reviews","Superhost","Guests","Bedrooms","Beds","Baths","Description","DescLen","Amenities","Latitude","Longitude","PlazaDist","CanyonRdDist","CapitolDist","OperaDist","AirportDist","entire"
"1","comfy santa fe condo - quiet and convenient",43,"entire condominium",154,0,4.5,2,0,4,2,3,2,"A cozy family setting with southwest decor. Kitchen well equipped and linens recently updated. Laundry is inside the condo. Parking spaces for visitors. Common areas in the complex offer spectacular views of the mountains and sunsets. Easy walk to historic plaza. And right on the highway to the ski area with scenic hiking and picnic areas",340,12,35.68795,-105.93688,0.119008009,0.776124405,0.436797492,5.306902212,11.6320537,TRUE
"2","casa familia 2 bedrooms 23 min walk to plaza",44,"entire house",110,0,5,28,1,4,2,2,1,"Casa Familia is a large and cozy adobe home located within a 23 min. walk to the Plaza and a 12 min. walk to the Railyard. This home features 2 bedrooms, 1 bathroom, an open floor plan, a large private deck with a Weber gas grill, a colorful hammock, and plenty of off street parking. The neighborhood includes the La Montanita Health Food Co-op, Better Day Cafe & Restaurant, The Tune-Up Cafe, Valentina's Mexican Restaurant, Bicentennial Pool, Alto Park & Tennis Courts, and so much more!!!",492,42,35.68669,-105.95508,1.146631427,1.923802289,1.106355271,5.376815023,10.46293384,TRUE
"3","contermporary loft living in the heart of santa fe",50,"entire loft",74,1,4.5,2,0,2,1,1,1,"Sleek, contemporary two-story loft in South Capitol Neighborhood. Perfect for business travelers, state government workers coming to Santa Fe for meetings or tourists exploring Santa Fe. New construction, loft unit with easy access to the Rail Runner station. The unit has a washer and dryer, dishwasher, gas stove and microwave. Fully equipped gourmet kitchen and mid-century furnishings. Second floor office with a desk, printer and comfortable reading area.",460,15,35.67155,-105.95917,1.801923165,2.275604877,1.538425402,6.450121687,9.763511204,TRUE
"4","lovely guesthouse ~ walk to plaza",33,"entire guesthouse",135,0,5,12,1,2,1,1,1,"This attractive one bedroom guesthouse is an easy 10min walk to the downtown plaza. Newly remodeled, you’ll find all you need to make your stay comfortable & enjoyable from the fully equipped kitchen, to the bright natural light, the romantic kiva fireplace, radiant heating, air conditioning & washer/dryer. The guesthouse is perfect for one or two people to spend time exploring or working in Santa Fe.",404,35,35.69268,-105.94403,0.526446638,1.368861598,0.777972229,4.937622804,11.33221068,TRUE
"5","casita martinez",15,"entire condominium",90,1,4.5,18,0,2,1,1,1,"Casita Martinez is located in downtown Santa Fe just blocks from the Historic Plaza and the Railyard. Walk to everything from this lovely pied- a- terre! Casita Martinez has a good size bedroom and large fully equipped kitchen and separate shower and bathroom- plus off street parking and private enclosed yard. Short term rental Permit (Phone number hidden by Airbnb)",368,7,35.68672,-105.94784,0.646551021,1.435887106,0.640713468,5.345927936,10.91113805,TRUE
"6","cozy condo - walk to plaza",26,"entire condominium",88,1,5,18,0,4,1,2,1,"In the heart of downtown Santa Fe, next to historic Fort Marcy Park, this one bedroom condo is perfect for anyone looking to explore Santa Fe. The compound is located right off the road to Ski Santa Fe and is walking distance to Plaza, making it the perfect location for any visitor. Newly remodeled, this one bedroom is spacious and modern with a hint of New Mexican flare.",374,26,35.69029,-105.93145,0.527544783,0.666034717,0.794432515,5.210890987,12.04090351,TRUE
"7","lovely castia near downtown",27,"entire apartment",83,1,5,78,1,2,1,1,1,"This charming and comfortable space will allow you to stretch out and feel right at home in Santa Fe. Just minutes from great locals' restaurants, shopping, parks and outdoor destinations. Weather permitting, relax on your own private patio! Travel Nurse Friendly!",264,30,35.68659,-105.96205,1.628653969,2.397805635,1.574216431,5.454864887,10.03379158,TRUE
"8","castia flores - luxury studio",29,"entire apartment",101,0,4.5,34,0,2,0,1,1,"Casita Flores is a luxury studio with Santa Fe style and top notch amenities. Private creek side patio and off-street parking compliment the ideal location; Just a short walk to the Plaza and Canyon Rd! Walk to a local bakery, an international food market or to the State Capital.",280,34,35.67946,-105.94448,0.688400425,1.162990638,0.384598808,5.850398303,10.9125555,TRUE
"9","oprea, plaza, or spa…oh my - 1 bedroom castia",45,"entire guesthouse",83,1,5,42,1,4,1,2,1,"Quiet, private, detached 1 bedroom guest house in the scenic foothills of Santa Fe. Tucked in the trees with mountain views and only ten minutes from the restaurants and shopping in the historic plaza and the Santa Fe Opera. Clean and charming, with everything you need to make your visit comfortable and easy. Perfect for small families, couples, and solo travelers.",367,37,35.70688,-105.94797,1.495787522,2.249428287,1.793902572,3.951674311,11.58573176,TRUE
"10","historic adobe~walk to canyon rd~5 star amenities",49,"entire house",380,0,5,18,0,4,2,2,2,"This beautiful casita is a short walk to Canyon Road, down Acequia Madre, two of Santa Fe's most beautiful and Historic streets. Canyon Road is the Soul of Santa Fe lined with Art galleries, restaurants and coffee shops.",220,20,35.67931,-105.92259,1.236804838,0.386606417,1.201468458,6.096657076,12.31478755,TRUE
