"name","party","state","chamber","repshare","cs1","cs2"
"Chris Cannon","R","UT","H",0.790062069892883,0.534,-0.124
"Michael Conaway","R","TX","H",0.783602833747864,0.484,0.051
"Spencer Bachus","R","AL","H",0.781293272972107,0.369,-0.013
"Mac Thornberry","R","TX","H",0.777651965618134,0.493,0.002
"Randy Neugebauer","R","TX","H",0.774663269519806,0.506,0.07
"Nathan Deal","R","GA","H",0.770789206027985,0.474,0.058
"Tom Osborne","R","NE","H",0.759415447711945,0.306,-0.19
"John Linder","R","GA","H",0.757599830627441,0.493,-0.126
"Rob Bishop","R","UT","H",0.744677126407623,0.462,-0.013
"Lynn Westmoreland","R","GA","H",0.735211908817291,0.546,0.146
"Robert Bennett","R","UT","S",0.733464419841766,0.287,-0.183
"Orrin Hatch","R","UT","S",0.733464419841766,0.338,-0.099
"Jerry Moran","R","KS","H",0.731334030628204,0.407,0.12
"Charles Norwood","R","GA","H",0.725315034389496,0.446,0.263
"Kevin Brady","R","TX","H",0.724741458892822,0.454,0.027
"Jeff Miller","R","FL","H",0.722756624221802,0.521,0.193
"Robert Aderholt","R","AL","H",0.717306435108185,0.347,0.254
"Dan Burton","R","IN","H",0.717209458351135,0.507,-0.029
"Frank Lucas","R","OK","H",0.717143177986145,0.359,0.114
"Bobby Jindal","R","LA","H",0.712411642074585,0.359,0.089
"Tom Price","R","GA","H",0.704526960849762,0.552,-0.083
"Ralph Hall","R","TX","H",0.703608751296997,0.363,0.057
"Michael Enzi","R","WY","S",0.703127026557922,0.46,-0.011
"Craig Thomas","R","WY","S",0.703127026557922,0.429,-0.174
"Barbara Cubin","R","WY","H",0.703127026557922,0.456,0.136
"Howard Coble","R","NC","H",0.697141587734222,0.472,-0.054
"Steve Buyer","R","IN","H",0.697075605392456,0.388,0.02
"Louie Gohmert","R","TX","H",0.694149851799011,0.449,0.133
"Butch Otter","R","ID","H",0.693806767463684,0.556,0.064
"Ander Crenshaw","R","FL","H",0.693715035915375,0.369,-0.171
"Larry Craig","R","ID","S",0.693227410316467,0.44,-0.036
"Michael Crapo","R","ID","S",0.693227410316467,0.394,-0.011
"Michael Simpson","R","ID","H",0.692586719989777,0.347,-0.104
"Bill Thomas","R","CA","H",0.686787843704224,0.363,-0.327
"Jack Kingston","R","GA","H",0.685291528701782,0.444,0.105
"Mark Souder","R","IN","H",0.68457555770874,0.46,-0.218
"Walter Jones","R","NC","H",0.67975640296936,0.357,0.417
"Roy Blunt","R","MO","H",0.6748566031456,0.432,-0.079
"Bill Shuster","R","PA","H",0.673140943050385,0.371,0.09
"Jeb Hensarling","R","TX","H",0.672734618186951,0.632,-0.104
"Ron Paul","R","TX","H",0.671814560890198,0.793,-0.257
"Patrick Mchenry","R","NC","H",0.671359360218048,0.527,0.017
"Kay Granger","R","TX","H",0.670065343379974,0.382,-0.188
"Joel Hefley","R","CO","H",0.669980347156525,0.557,-0.026
"Tom Cole","R","OK","H",0.669846832752228,0.368,-0.077
"Terry Everett","R","AL","H",0.669733166694641,0.387,0.285
"Chuck Hagel","R","NE","S",0.668473362922668,0.293,-0.461
"Sam Johnson","R","TX","H",0.668292343616486,0.547,0.083
"Virginia Foxx","R","NC","H",0.665983378887177,0.513,0.188
"John Carter","R","TX","H",0.66547566652298,0.422,0.045
"Joe Barton","R","TX","H",0.664837300777435,0.496,-0.032
"Marsha Blackburn","R","TN","H",0.663266956806183,0.544,-0.061
"J. Barrett","R","SC","H",0.660668134689331,0.553,-0.026
"Bob Inglis","R","SC","H",0.65668535232544,0.537,-0.205
"Chip Pickering","R","MS","H",0.656409442424774,0.343,0.065
"James Inhofe","R","OK","S",0.655704021453857,0.522,0.004
"Tom Coburn","R","OK","S",0.655704021453857,0.674,0.127
"Ron Lewis","R","KY","H",0.654592156410217,0.381,0.174
"Michael Oxley","R","OH","H",0.654525399208069,0.369,-0.161
"Roscoe Bartlett","R","MD","H",0.654316306114197,0.497,-0.068
"John Sullivan","R","OK","H",0.653777301311493,0.466,0.011
"Kenny Marchant","R","TX","H",0.650971233844757,0.478,0.06
"Todd Tiahrt","R","KS","H",0.65090411901474,0.454,0.026
"John 'Jimmy' Duncan","R","TN","H",0.649603128433228,0.521,-0.068
"Jo Bonner","R","AL","H",0.647679448127747,0.368,-0.017
"Jeff Flake","R","AZ","H",0.646717548370361,0.735,-0.036
"Michael Burgess","R","TX","H",0.646217286586761,0.459,0.02
"John Boehner","R","OH","H",0.645624816417694,0.456,-0.117
"Henry Bonilla","R","TX","H",0.645135700702667,0.391,-0.085
"Mike Pence","R","IN","H",0.64442628622055,0.582,-0.035
"Tom DeLay","R","TX","H",0.643704771995544,0.538,-0.013
"John Culberson","R","TX","H",0.643492877483368,0.449,0.12
"Todd Platts","R","PA","H",0.642508387565613,0.26,-0.135
"Ernest Istook","R","OK","H",0.641309976577759,0.441,0.017
"Doc Hastings","R","WA","H",0.64023357629776,0.409,0.007
"Rob Portman","R","OH","H",0.639658451080322,0.378,-0.302
"Jean Schmidt","R","OH","H",0.639658451080322,0.437,-0.16
"Jo Ann Emerson","R","MO","H",0.639403164386749,0.271,0.129
"Jeff Fortenberry","R","NE","H",0.638192057609558,0.325,-0.133
