CODE,COUNTRY,GR6096,DENS60,COAST65,POPGR6090,EAST,DEF60,LGDP60,EDUC60,LIFE60
DZA,Algeria,0.011,5.39604054182665,4.32730681856546,0.02841708,0,0.029999999,7.451822237,0.0297,47.3
BEN,Benin,0.0011,3.90096610254993,4.60794473336924,0.02396531,0,0.017999999,7.003065459,0.024800001,38.9
BDI,Burundi,0.0046,2.16458659483675,0,0.02027949,0,0.014,6.461468176,0.018300001,41.8
CMR,Cameroon,0.0024,4.47575715838731,3.02460394657243,0.02634325,0,0.024,6.463029457,0.0221,43.4
CAF,Cent'l Afr. Rep.,-0.0252,6.00663563201791,0,0.02255507,0,0.009,6.556778356,0.0231,39.3
COG,Congo,0.0151,5.84542033755111,2.59519873524122,0.02747309,0,0.025,7.023758955,0.031099999,47.3
EGY,Egypt,0.0245,3.64810172944709,4.17587262774374,0.02379224,0,0.061999999,6.695798917,0.045000002,46.4
ETH,Ethiopia,0.003,3.72177491651816,2.95785749422527,0.02277152,0,0.022,5.549076085,0.0095,42.2
GAB,Gabon,0.0277,6.2732263794706,1.49034194025364,0.03023303,0,0.01,7.489412084,0.022399999,40.9
GMB,Gambia,-0.0031,3.34670951637803,4.15986291566717,0.03000359,0,0,6.400257445,0.0211,32.3
GHA,Ghana,-0.0041,3.5142343577595,4.35936951468714,0.02727602,0,0.017999999,6.795705775,0.026000001,45.2
LSO,Lesotho,0.0269,3.55205980394865,0,0.02361016,0,0,5.746203191,0.045899998,47.7
LBR,Liberia,-0.0101,4.52941701508292,2.70989982283016,0.03028683,0,0.009,6.575075841,0.0144,41.5
MDG,Madagascar,-0.0161,4.69627608563392,2.26731888646241,0.0269856,0,0.013,7.082548569,0.0206,41
MWI,Malawi,0.0095,3.28313055574112,0,0.03012865,0,0.005,5.940171253,0.0118,37.9
MRT,Mauritania,0.0054,6.94170326957951,1.33551356696061,0.02358584,0,0.026000001,6.65929392,0.0176,35.3
MAR,Morocco,0.0312,3.64774751573271,3.95545369035485,0.02555892,0,0.027000001,6.703188113,0.0305,46.9
NER,Niger,-0.0179,6.03626796523206,0,0.03161321,0,0.01,6.276643489,0.0049,35.4
NGA,Nigeria,-0.0021,3.06938692868936,4.89768680317287,0.03122711,0,0.006,6.340359304,0.0136,39.7
RWA,Rwanda,9e-04,2.19690230318926,0,0.03223426,0,0.026000001,6.285998095,0.025599999,46.5
SEN,Senegal,-0.0067,4.10117120756438,3.87432217666519,0.02780182,0,0.011,6.953684211,0.0187,39.6
ZAF,South africa,0.0123,4.25121724831237,3.44592023791856,0.02354366,0,0.017000001,7.69211334,0.026573999,49.2
TZA,Tanzania,0.0038,4.47881186242353,3.27398995057432,0.03354528,0,0.018999999,5.765191103,0.0265,40.6
TGO,Togo,-0.0014,3.58142508119953,4.32169073679768,0.02799285,0,0.008,5.905361848,0.019300001,39.5
UGA,Uganda,0.0137,3.41527121239348,0,0.03483751,0,0.003,6.393590754,0.018999999,43.2
ZAR,Zaire,-0.0318,4.99772835678658,3.45794059820852,0.02778447,0,0.024,6.192362489,0.027000001,42.1
ZMB,Zambia,-0.0188,5.46667944157257,0,0.03339606,0,0.015,6.872128101,0.015900001,41.8
ZWE,Zimbabwe,0.0097,4.61988341364469,0,0.03095594,0,0.015,6.896694332,0.0163,45.5
CAN,Canada,0.0221,6.24393211582238,2.66981513537221,0.01342323,0,0.039999999,8.889859588,0.036499999,71.1
DOM,Dominican Rep.,0.0255,2.70629532888094,4.37787891978472,0.02682861,0,0.039000001,7.085901464,0.0187,52.2
SLV,El Salvador,0.0081,2.08719887561266,4.98413524908355,0.02234435,0,0.012,7.263329617,0.022399999,50.8
GTM,Guatemala,0.0123,3.30885180308182,4.29809188364952,0.02794586,0,0.009,7.414572881,0.0156,45.9
HTI,Haiti,-0.0087,1.97952451664045,5.01944041499131,0.01761677,0,0.025,6.828712072,0.0153,42.4
HND,Honduras,0.0073,4.05740910255353,3.09998777891275,0.033245,0,0.017000001,6.946013991,0.0211,46.8
JAM,Jamaica,0.0113,1.89436118288877,5.09688332425526,0.01432883,0,0.004,7.480428306,0.020099999,63
MEX,Mexico,0.0176,3.94896998175374,2.91401449706903,0.02852864,0,0.007,7.950149888,0.0134,57.3
TTO,Trinidad & Tobago,0.0216,1.80589245969397,5.16854404637213,0.01398711,0,0.004,8.635331719,0.020400001,63.9
USA,United States,0.0227,3.92582728640454,4.28926077783299,0.01101123,0,0.088,9.199784858,0.0383,69.8
ARG,Argentina,0.0102,4.88843677452268,2.60257856815998,0.01525467,0,0.021,8.403352375,0.022299999,65.2
BOL,Bolivia,0.0035,5.75678660472943,0,0.02513803,0,0.016000001,7.045776577,0.015799999,42.8
BRA,Brazil,0.0294,4.7578097246164,3.63146456621086,0.02452847,0,0.017000001,7.486613313,0.0041,54.9
CHL,Chile,0.0233,4.58848373835681,2.31522319469147,0.01830214,0,0.023,7.967280179,0.0262,57.3
COL,Colombia,0.0229,4.17695627486704,3.44496000828262,0.02443978,0,0.017000001,7.428927195,0.023,53.2
ECU,Ecuador,0.0154,4.13888443685298,3.44381679984823,0.0294809,0,0.021,7.286876412,0.0155,53.4
PRY,Paraguay,0.0263,5.41145496217,0,0.02977306,0,0.017000001,7.070724107,0.0138,63.9
PER,Peru,0.0099,4.85895389641428,3.39343029579428,0.02620731,0,0.027000001,7.610357618,0.024499999,48
URY,Uruguay,0.0122,4.23232375702642,3.60379231549869,0.00672159,0,0.014,8.286017468,0.0241,67.3
VEN,Venezuela,0.0029,4.76707897939069,3.40622704500579,0.03261863,0,0.018999999,8.75431854,0.017999999,59.8
