"county","ballots","votes","equip","poor","urban","atlanta","perAA","gore","bush"
"APPLING",6617,6099,"LEVER",1,0,0,0.182,2093,3940
"ATKINSON",2149,2071,"LEVER",1,0,0,0.23,821,1228
"BACON",3347,2995,"LEVER",1,0,0,0.131,956,2010
"BAKER",1607,1519,"OPTICAL",1,0,0,0.476,893,615
"BALDWIN",12785,12126,"LEVER",0,0,0,0.359,5893,6041
"BANKS",4773,4533,"LEVER",0,0,0,0.024,1220,3202
"BARROW",12522,12102,"OPTICAL",0,1,0,0.079,3657,7925
"BARTOW",23735,22780,"OPTICAL",0,1,1,0.079,7508,14720
"BEN.HILL",5741,4661,"OPTICAL",1,0,0,0.282,2234,2381
"BERRIEN",4475,4410,"OPTICAL",1,0,0,0.107,1640,2718
"BIBB",52075,49776,"OPTICAL",0,1,0,0.396,24996,24071
"BLECKLEY",3867,3749,"LEVER",0,0,0,0.166,1273,2436
"BRANTLEY",4910,4566,"LEVER",1,0,0,0.036,1372,3118
"BROOKS",4754,4551,"LEVER",1,0,0,0.341,2096,2406
"BRYAN",7059,7059,"LEVER",0,1,0,0.13,2172,4835
"BULLOCH",15371,14782,"OPTICAL",0,0,0,0.218,5561,8990
"BURKE",7431,7135,"LEVER",1,0,0,0.465,3720,3381
"BUTTS",5907,5635,"OPTICAL",0,0,0,0.252,2281,3198
"CALHOUN",2065,1887,"PUNCH",1,0,0,0.562,1107,768
"CAMDEN",10204,10119,"LEVER",0,0,0,0.192,3636,6371
"CANDLER",2846,2722,"LEVER",1,0,0,0.239,1053,1643
"CARROLL",26740,25741,"OPTICAL",0,1,0,0.128,8752,16326
"CATOOSA",18114,17721,"OPTICAL",0,1,0,0.009,5470,12033
"CHARLTON",2963,2816,"LEVER",1,0,0,0.231,1015,1770
"CHATHAM",78381,76474,"OPTICAL",0,1,0,0.341,37590,37847
"CHATTAHOOCHEE",1227,1207,"LEVER",0,1,0,0.344,600,590
"CHATTOOGA",6823,6477,"OPTICAL",0,0,0,0.085,2729,3640
"CHEROKEE",53458,52348,"OPTICAL",0,1,1,0.021,12295,38033
"CLARKE",29519,28904,"LEVER",0,1,0,0.242,15167,11850
"CLAY",1334,1277,"LEVER",1,0,0,0.563,821,448
"CLAYTON",63309,61398,"PUNCH",0,1,1,0.509,40042,19966
"CLINCH",1996,1929,"LEVER",0,0,0,0.252,816,1091
"COBB",236525,235026,"OPTICAL",0,1,1,0.16,86676,140494
"COFFEE",9687,9430,"LEVER",0,0,0,0.259,3593,5756
"COLQUITT",10355,9972,"LEVER",1,0,0,0.2,3297,6589
"COLUMBIA",37606,36008,"PUNCH",0,1,0,0.099,8969,26660
"COOK",4280,3944,"OPTICAL",1,0,0,0.252,1639,2279
"COWETA",32104,31225,"OPTICAL",0,1,1,0.144,9056,21327
"CRAWFORD",3632,3567,"LEVER",0,0,0,0.251,1513,1987
"CRISP",5973,5609,"LEVER",1,0,0,0.326,2268,3285
"DADE",5290,5049,"LEVER",0,1,0,0.005,1628,3333
"DAWSON",6003,5898,"OPTICAL",0,0,0,0.001,1458,4210
"DECATUR",7898,7648,"LEVER",1,0,0,0.331,3398,4187
"DEKALB",228352,219980,"PUNCH",0,1,1,0.514,154509,58807
"DODGE",6044,5877,"LEVER",1,0,0,0.231,2326,3472
"DOOLY",3755,3520,"LEVER",1,0,0,0.463,1901,1588
"DOUGHERTY",30752,29064,"OPTICAL",1,1,0,0.523,16650,12248
"DOUGLAS",31943,30963,"OPTICAL",0,1,1,0.169,11162,18893
"EARLY",3798,3585,"OPTICAL",1,0,0,0.365,1622,1938
"ECHOLS",954,898,"LEVER",1,0,0,0.077,272,614
"EFFINGHAM",11436,10650,"LEVER",0,1,0,0.109,3232,7326
"ELBERT",5960,5853,"OPTICAL",1,0,0,0.257,2527,3262
"EMANUEL",6262,6262,"LEVER",1,0,0,0.298,2835,3343
"EVANS",3203,3080,"LEVER",0,0,0,0.296,1217,1841
"FANNIN",8691,8390,"OPTICAL",0,0,0,0.001,2736,5463
"FAYETTE",42766,42449,"OPTICAL",0,1,1,0.101,11912,29338
"FLOYD",27820,26825,"OPTICAL",0,0,0,0.107,10282,16194
"FORSYTH",37078,35755,"PUNCH",0,1,1,0.003,6694,27769
"FRANKLIN",6183,5762,"OPTICAL",0,0,0,0.061,2040,3659
"FULTON",280975,263211,"PUNCH",0,1,1,0.416,152039,104870
"GILMER",7616,7370,"OPTICAL",0,0,0,0,2230,4941
"GLASCOCK",1100,1020,"LEVER",1,0,0,0.07,249,763
"GLYNN",23151,22384,"OPTICAL",0,0,0,0.212,7778,14346
"GORDON",12899,12205,"OPTICAL",0,0,0,0.033,4032,7944
"GRADY",7195,6703,"LEVER",1,0,0,0.242,2721,3894
"GREENE",5550,5197,"OPTICAL",1,0,0,0.366,2137,2980
"GWINNETT",192303,191110,"OPTICAL",0,1,1,0.114,61434,121756
"HABERSHAM",10377,9691,"LEVER",0,0,0,0.018,2530,6964
"HALL",39247,38150,"OPTICAL",0,0,1,0.065,10259,26841
"HANCOCK",3255,3086,"LEVER",1,0,0,0.765,2414,662
"HARALSON",8609,8167,"OPTICAL",0,0,0,0.045,2869,5153
"HARRIS",8738,8562,"LEVER",0,1,0,0.159,2912,5554
"HART",7731,7536,"LEVER",0,0,0,0.142,3192,4242
"HEARD",3369,3198,"OPTICAL",1,0,0,0.101,1178,1947
"HENRY",39851,38867,"PUNCH",0,1,1,0.136,11971,25815
"HOUSTON",38139,36988,"OPTICAL",0,1,0,0.199,13301,23174
"IRWIN",2887,2852,"LEVER",0,0,0,0.22,1105,1720
"JACKSON",11980,11635,"OPTICAL",0,0,0,0.059,3420,7878
"JASPER",4186,3943,"LEVER",0,0,0,0.252,1558,2298
"JEFF.DAVIS",4574,4221,"LEVER",1,0,0,0.143,1379,2797
"JEFFERSON",5810,5566,"LEVER",1,0,0,0.526,2973,2559
"JENKINS",2704,2593,"LEVER",1,0,0,0.371,1250,1317
"JOHNSON",2961,2883,"LEVER",1,0,0,0.279,1065,1797
"JONES",8430,8068,"OPTICAL",0,1,0,0.229,3102,4850
"LAMAR",5452,5230,"OPTICAL",0,0,0,0.255,2194,2912
"LANIER",2023,1904,"LEVER",1,0,0,0.234,832,1048
"LAURENS",14565,14036,"LEVER",1,0,0,0.288,5724,8133
"LEE",8130,7884,"PUNCH",0,1,0,0.135,1936,5872
"LIBERTY",10320,9972,"LEVER",1,0,0,0.435,5347,4455
"LINCOLN",3300,3103,"PUNCH",1,0,0,0.31,1275,1807
"LONG",2402,2314,"LEVER",1,0,0,0.224,975,1320
"LOWNDES",25911,25432,"OPTICAL",0,0,0,0.288,10616,14462
"LUMPKIN",6886,6750,"OPTICAL",0,0,0,0.011,2121,4427
"MACON",4603,4355,"LEVER",1,0,0,0.578,2757,1566
"MADISON",8254,7993,"LEVER",0,1,0,0.07,2285,5529
"MARION",2186,2184,"PUNCH",1,0,0,0.337,982,1187
"MCDUFFIE",6832,6550,"OPTICAL",1,1,0,0.317,2580,3926
"MCINTOSH",4144,3837,"LEVER",1,0,0,0.386,2047,1766
"MERIWETHER",7178,6709,"OPTICAL",1,0,0,0.392,3441,3162
