length,height,width,weight
10.3,4.1,1.5,293
13.3,5.3,1.9,619
9.2,3.7,1.4,239
7.8,3.1,1.2,209
9.7,3.8,1.5,245
11.6,4.6,1.6,414
10.5,4.2,1.7,193
10.5,4.2,1.6,431
14.8,5.9,2.2,953
12.3,4.9,1.8,362
10.8,4.3,1.6,434
8.9,3.6,1.3,225
7.4,2.9,1.1,197
10,3.9,1.5,272
7.9,3,1.2,145
9.1,3.6,1.3,179
12.9,5.2,1.9,671
10.5,4.2,1.6,308
9.7,3.8,1.4,280
12.3,4.8,1.8,583
11.4,4.5,1.8,518
13.3,5.3,2,678
10.1,4.1,1.5,275
10.6,4.2,1.6,340
11.7,4.8,1.7,652
14.5,5.8,2.3,803
8.7,3.5,1.2,248
10.1,4.1,1.6,284
12.5,5.1,1.9,650
13.2,5.4,2,674
7.8,3.2,1.1,134
10.8,4.4,1.6,305
14,5.6,2.1,459
13.5,5.4,2,460
12.9,5.1,1.9,572
10.6,4.3,1.6,268
12.4,5,1.9,491
15.6,6.2,2.3,1064
12.9,5,1.9,480
12.3,5,1.9,467
10.5,4.2,1.4,416
11.8,4.7,1.8,536
10.1,4,1.6,306
9,3.6,1.4,278
13.2,5.3,2,584
10.3,4.1,1.5,365
10.7,4.4,1.7,441
9.1,3.6,1.3,168
12.6,5.1,1.9,588
9.1,3.7,1.4,287
11.3,4.5,1.7,461
10.3,4,1.4,271
9.8,3.9,1.4,281
11.7,4.7,1.8,512
10,4,1.6,324
13.5,5.4,2.1,606
12.2,4.9,1.9,634
10.7,4.3,1.6,382
11.5,4.6,1.7,310
14.8,6,2.3,771
12,4.9,1.8,569
10.7,4.4,1.5,282
11.7,4.7,1.8,222
11.2,4.5,1.7,558
13.7,5.5,2.1,789
12.3,4.9,1.9,502
11.8,4.7,1.8,613
12,4.8,1.8,337
12.6,5,1.9,653
10.4,4.1,1.6,445
10.1,4.1,1.5,274
11.3,4.6,1.8,424
15.3,6.1,2.3,961
10.7,4.3,1.6,347
9.9,3.9,1.6,332
11.6,4.7,1.8,459
10.2,4,1.6,338
12.6,5,1.9,455
16.6,6.6,2.5,1165
12.4,4.9,1.9,405
13.8,5.5,2.1,749
11.1,4.4,1.6,360
16.1,6.4,2.4,934
15.3,6.2,2.4,1023
9.7,3.8,1.4,274
15.4,6.2,2.3,902
10.1,4.1,1.5,362
12.6,5,1.9,427
12.2,4.9,1.9,657
13,5.1,2,546
9.1,3.6,1.4,192
11.8,4.7,1.8,636
9.6,3.9,1.4,213
14.4,5.7,2.1,622
13,5.2,1.9,573
10.8,4.3,1.7,329
12.4,4.9,1.8,527
13.7,5.6,1.9,518
16,6.5,2.4,1287
13.1,5.2,2,689
11.3,4.5,1.7,347
16.7,6.7,2.5,1352
10.1,4.1,1.6,242
13,5.1,1.9,534
8.4,3.3,1.1,223
10.2,4.2,1.6,355
8.8,3.6,1.3,156
9.4,3.8,1.4,189
11.6,4.6,1.8,569
10.1,4.1,1.6,403
12.4,5,1.8,431
12.9,5.1,1.9,723
12.2,4.8,1.8,475
13.8,5.6,2,739
8.5,3.3,1.3,174
12.7,5.1,1.9,651
11.9,4.7,1.8,562
9.7,3.9,1.5,256
9.1,3.6,1.4,242
14.9,6,2.3,1132
12.3,4.9,1.9,600
10.3,4.2,1.7,370
11.5,4.6,1.8,424
8.9,3.6,1.4,251
10.7,4.3,1.6,434
12.9,5.2,2,827
9.9,4.1,1.5,186
15.9,6.4,2.5,1151
11.5,4.5,1.7,472
12.8,5.1,1.9,675
13.8,5.5,2,688
12.7,5.1,1.9,592
10.9,4.4,1.6,379
11.9,4.7,1.7,427
11.8,4.7,1.8,532
16,6.3,2.5,1045
10.3,4.2,1.6,254
9.6,3.9,1.4,335
9.2,3.7,1.3,288
11.9,4.7,1.8,498
13.8,5.5,2.1,690
14.7,5.9,2.3,1133
11.5,4.6,1.7,480
18.3,7.3,2.8,1613
12.6,5,1.9,558
13.1,5.2,2,612
11.4,4.6,1.7,596
12.9,5.1,1.9,345
11.5,4.6,1.7,432
11.6,4.6,1.8,376
10.5,4.2,1.5,358
9.3,3.7,1.3,291
12.7,5.1,1.9,844
11.2,4.5,1.7,330
10.9,4.3,1.6,368
9.4,3.7,1.4,179
12.4,5,1.9,640
12.1,4.9,1.9,292
8.1,3.3,1.2,228
10.2,4.1,1.4,319
11.7,4.7,1.7,421
9.3,3.7,1.4,265
13.8,5.4,2.1,673
12.4,5,1.8,515
13.3,5.3,2,922
9.5,3.8,1.4,231
12.3,5,1.9,607
9.3,3.7,1.3,333
13.5,5.4,2,662
13.3,5.3,2.1,498
12.5,5,1.8,605
12.6,5.1,1.9,654
9.2,3.7,1.3,338
12.1,4.8,1.8,482
10.8,4.3,1.7,420
8,3.2,1.1,87
9.2,3.7,1.4,139
9.4,3.7,1.4,188
17.4,7,2.6,1491
11.3,4.5,1.7,360
12.9,5.2,2,480
13.7,5.4,2.1,735
9,3.6,1.3,265
10.1,4,1.5,236
9.1,3.6,1.5,249
15,6.1,2.2,783
17.2,6.8,2.6,1470
9.1,3.6,1.4,242
12.6,5.1,2,502
12.8,5.1,1.8,410
11.1,4.4,1.8,461
9.8,3.9,1.4,390
7.4,2.9,1,96
7.2,2.9,1.1,167
9.4,3.7,1.4,258
12.5,5,1.9,663
14.5,5.8,2.2,839
11.2,4.5,1.6,450
12.3,5,1.8,599
5.3,2.1,0.9,68
12.8,5.1,1.9,559
11.5,4.7,1.7,424
13.2,5.3,2,656
10.4,4.2,1.6,423
10,4.1,1.4,334
15.2,6,2.2,897
11.7,4.6,1.8,575
11,4.4,1.7,382
12.9,5.1,2.1,481
10.2,4,1.4,293
9,3.6,1.4,240
11.2,4.5,1.7,413
12.2,4.9,1.9,426
12.4,4.9,1.9,537
11.6,4.7,1.7,456
13.6,5.5,2,695
13.5,5.3,2,633
8.6,3.4,1.2,230
13.5,5.4,2.1,667
13.2,5.2,1.9,726
9.8,4,1.5,254
14.9,5.9,2.2,1047
11.5,4.5,1.6,381
9.4,3.8,1.3,182
9.7,3.9,1.4,347
14.1,5.7,2.1,655
12,4.7,1.8,531
10.1,4.1,1.5,431
12.4,5,1.9,584
12.5,5,2,614
8.8,3.4,1.3,279
10.9,4.3,1.7,463
13.6,5.4,2.1,654
13.7,5.5,2.1,636
8,3.2,1.2,143
