CS_PropertyID,cluster,size,empl_gr,Rent,leasing_rate,stories,age,renovated,class_a,class_b,LEED,Energystar,green_rating,net,amenities,cd_total_07,hd_total07,total_dd_07,Precipitation,Gas_Costs,Electricity_Costs,cluster_rent
379105,1,260300,2.22,38.56,91.39,14,16,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.029,36.78
122151,1,67861,2.22,28.57,87.14,5,27,0,0,1,0,0,0,0,1,4988,58,5046,42.57,0.013731491,0.029044549,36.78
379839,1,164848,2.22,33.31,88.94,13,36,1,0,1,0,0,0,0,1,4988,58,5046,42.57,0.013731491,0.029044549,36.78
94614,1,93372,2.22,35,97.04,13,46,1,0,1,0,0,0,0,0,4988,58,5046,42.57,0.013731491,0.029044549,36.78
379285,1,174307,2.22,40.69,96.58,16,5,0,1,0,0,0,0,0,1,4988,58,5046,42.57,0.013731491,0.029044549,36.78
94765,1,231633,2.22,43.16,92.74,14,20,0,1,0,0,0,0,0,1,4988,58,5046,42.57,0.013731491,0.029044549,36.78
236739,6,210038,4.01,12.5,94.33,11,38,0,0,1,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,17.5
234578,6,225895,4.01,14.77,91.02,15,24,0,1,0,0,0,0,0,1,2746,1670,4416,25.55,0.01011846,0.028868699,17.5
42087,6,912011,4.01,17,99.32,31,34,0,1,0,0,0,0,0,1,2746,1670,4416,25.55,0.01011846,0.028868699,17.5
233989,6,518578,4.01,17,93.54,21,36,1,1,0,0,0,0,0,1,2746,1670,4416,25.55,0.01011846,0.028868699,17.5
236704,6,241294,4.01,17,83.61,11,32,0,1,0,0,0,0,0,1,2746,1670,4416,25.55,0.01011846,0.028868699,17.5
234263,6,255305,4.01,18,95.69,15,25,0,1,0,0,0,0,0,1,2746,1670,4416,25.55,0.01011846,0.028868699,17.5
234298,6,254920,4.01,18,100,15,26,0,1,0,0,0,0,0,1,2746,1670,4416,25.55,0.01011846,0.028868699,17.5
233940,6,745956,4.01,19,95.62,31,28,0,1,0,0,0,0,0,1,2746,1670,4416,25.55,0.01011846,0.028868699,17.5
233941,6,746824,4.01,19,67.48,31,29,0,1,0,0,0,0,0,1,2746,1670,4416,25.55,0.01011846,0.028868699,17.5
239670,6,85000,4.01,19.5,85.41,7,40,1,0,1,0,0,0,0,0,2746,1670,4416,25.55,0.01011846,0.028868699,17.5
431225,8,409889,67.78,30.5,97.06,20,6,0,1,0,0,1,1,0,0,5240,956,6196,10.46,0.012,0.0235,25.5
104642,8,28000,67.78,12.51,63.87,3,56,0,0,0,0,0,0,0,0,5240,956,6196,10.46,0.01195459,0.023505275,25.5
224619,8,69142,67.78,15.2,79.65,8,56,0,0,0,0,0,0,0,0,5240,956,6196,10.46,0.01195459,0.023505275,25.5
625220,8,72500,67.78,18.58,0,10,57,0,0,1,0,0,0,0,0,5240,956,6196,10.46,0.01195459,0.023505275,25.5
224594,8,204278,67.78,20,95.59,12,46,1,0,1,0,0,0,0,0,5240,956,6196,10.46,0.01195459,0.023505275,25.5
51815,8,127313,67.78,22.9,86.95,8,77,1,0,1,0,0,0,0,1,5240,956,6196,10.46,0.01195459,0.023505275,25.5
224553,8,723922,67.78,25.5,100,40,34,0,1,0,0,0,0,0,0,5240,956,6196,10.46,0.01195459,0.023505275,25.5
224579,8,244651,67.78,25.5,41.66,18,43,1,0,1,0,0,0,0,1,5240,956,6196,10.46,0.01195459,0.023505275,25.5
224554,8,371727,67.78,25.73,86.08,31,31,0,0,1,0,0,0,0,1,5240,956,6196,10.46,0.01195459,0.023505275,25.5
224558,8,491623,67.78,29.62,92.04,26,20,0,1,0,0,0,0,0,1,5240,956,6196,10.46,0.01195459,0.023505275,25.5
224556,8,470464,67.78,31.25,98.31,28,19,0,1,0,0,0,0,0,1,5240,956,6196,10.46,0.01195459,0.023505275,25.5
224565,8,567163,67.78,33,97.36,24,7,0,1,0,0,0,0,0,1,5240,956,6196,10.46,0.01195459,0.023505275,25.5
656670,8,137000,67.78,33,96.75,11,76,0,0,0,0,0,0,0,0,5240,956,6196,10.46,0.01195459,0.023505275,25.5
204299,11,525422,1.74,25,71.1,16,23,0,1,0,0,1,1,0,1,1113,6001,7114,41.32,0.0108,0.0233,22
520856,11,184549,1.74,17.5,100,6,5,0,1,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,22
204385,11,76087,1.74,21,89.26,3,21,0,1,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,22
204378,11,101711,1.74,22,85.19,4,17,0,1,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,22
204295,11,487027,1.74,27,73.64,27,16,0,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,22
437486,13,378538,3.27,26.61,95.54,17,22,0,1,0,0,1,1,0,1,2269,2382,4651,40.7,0.0138,0.0229,25.055
437487,13,386596,3.27,23.5,79.79,17,20,0,1,0,0,0,0,0,1,2269,2382,4651,40.7,0.013810464,0.022889801,25.055
755727,14,841498,1.74,24.5,99.46,40,2,0,1,0,1,0,1,0,1,1113,6001,7114,41.32,0.0108,0.0233,23.275
144515,14,136800,1.74,14.75,83.33,13,84,0,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
1588,14,39761,1.74,15,93.08,13,83,1,0,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144402,14,625696,1.74,16.23,94.36,23,97,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144297,14,1601744,1.74,16.29,93.77,48,34,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144337,14,733633,1.74,16.78,79.31,37,21,0,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144318,14,803046,1.74,17.37,72.44,40,26,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
1586,14,401000,1.74,18.06,86.28,19,93,1,0,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144411,14,78100,1.74,19,91.35,22,94,1,0,1,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144491,14,173612,1.74,19,95.46,14,104,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144492,14,111323,1.74,19,87.9,14,78,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144523,14,281325,1.74,19,96.02,12,119,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144410,14,130976,1.74,19.13,94.22,22,80,1,0,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144403,14,125729,1.74,19.5,87.12,23,79,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
1597,14,66600,1.74,20,47.14,6,107,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144294,14,1056408,1.74,20,92.46,50,15,0,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
145034,14,13909,1.74,20,22.35,4,77,0,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144466,14,159000,1.74,20.5,96.09,17,46,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144306,14,988171,1.74,20.53,94.35,44,33,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144342,14,591430,1.74,20.91,86.79,37,32,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
1587,14,243040,1.74,21.5,91.82,19,103,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
123313,14,940639,1.74,21.97,91.63,50,17,0,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144474,14,158100,1.74,22.11,93.96,16,114,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144473,14,200187,1.74,22.5,83.02,16,95,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144494,14,219273,1.74,22.5,83.62,15,114,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144499,14,197621,1.74,22.66,77.6,12,107,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144388,14,157409,1.74,22.75,100,25,80,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
