"","homegoal","season","team.away","team.home","period","differential","playoffs"
"1",0,"20022003","DAL","EDM",1,0,0
"2",0,"20022003","DAL","EDM",1,-1,0
"3",1,"20022003","DAL","EDM",2,-2,0
"4",0,"20022003","DAL","EDM",2,-1,0
"5",1,"20022003","DAL","EDM",3,-2,0
"6",1,"20022003","DAL","EDM",3,-1,0
"7",0,"20022003","DAL","EDM",4,0,0
"8",1,"20022003","PHX","NYI",1,0,0
"9",1,"20022003","PHX","NYI",1,1,0
"10",0,"20022003","PHX","NYI",2,2,0
"11",0,"20022003","PHX","NYI",2,1,0
"12",0,"20022003","PHX","NYI",3,0,0
"13",1,"20022003","OTT","PHI",1,0,0
"14",0,"20022003","OTT","PHI",2,1,0
"15",1,"20022003","OTT","PHI",2,0,0
"16",1,"20022003","ANA","MTL",1,0,0
"17",0,"20022003","ANA","MTL",1,1,0
"18",1,"20022003","ANA","MTL",1,0,0
"19",0,"20022003","ANA","MTL",3,1,0
"20",0,"20022003","LAK","ATL",1,0,0
"21",0,"20022003","LAK","ATL",1,-1,0
"22",0,"20022003","LAK","ATL",2,-2,0
"23",0,"20022003","LAK","ATL",3,-3,0
"24",0,"20022003","CBJ","CHI",1,0,0
"25",1,"20022003","CBJ","CHI",2,-1,0
"26",0,"20022003","CBJ","CHI",2,0,0
"27",1,"20022003","CBJ","CHI",2,-1,0
"28",1,"20022003","CBJ","CHI",3,0,0
"29",1,"20022003","BUF","VAN",2,0,0
"30",0,"20022003","BUF","VAN",3,1,0
"31",1,"20022003","PIT","OTT",1,0,0
"32",0,"20022003","PIT","OTT",1,1,0
"33",0,"20022003","PIT","OTT",2,0,0
"34",0,"20022003","PIT","OTT",2,-1,0
"35",0,"20022003","PIT","OTT",3,-2,0
"36",0,"20022003","BOS","WSH",1,0,0
"37",0,"20022003","BOS","WSH",1,-1,0
"38",1,"20022003","BOS","WSH",1,-2,0
"39",0,"20022003","BOS","WSH",1,-1,0
"40",0,"20022003","BOS","WSH",2,-2,0
"41",0,"20022003","BOS","WSH",2,-3,0
"42",1,"20022003","BOS","WSH",2,-4,0
"43",0,"20022003","BOS","WSH",3,-3,0
"44",0,"20022003","BOS","WSH",3,-4,0
"45",0,"20022003","NYI","CAR",1,0,0
"46",0,"20022003","NYI","CAR",1,-1,0
"47",1,"20022003","NYI","CAR",2,-2,0
"48",1,"20022003","NYI","CAR",2,-1,0
"49",1,"20022003","NYI","CAR",2,0,0
"50",1,"20022003","NYI","CAR",3,1,0
"51",1,"20022003","NYR","TBL",1,0,0
"52",1,"20022003","NYR","TBL",3,1,0
"53",1,"20022003","NYR","TBL",3,2,0
"54",1,"20022003","NSH","STL",2,0,0
"55",1,"20022003","NSH","STL",2,1,0
"56",1,"20022003","NSH","STL",2,2,0
"57",1,"20022003","NSH","STL",2,3,0
"58",1,"20022003","NSH","STL",3,4,0
"59",1,"20022003","NSH","STL",3,5,0
"60",1,"20022003","NSH","STL",3,6,0
"61",0,"20022003","FLA","DAL",1,0,0
"62",0,"20022003","FLA","DAL",2,-1,0
"63",1,"20022003","FLA","DAL",2,-2,0
"64",1,"20022003","FLA","DAL",3,-1,0
"65",0,"20022003","FLA","DAL",4,0,0
"66",0,"20022003","ANA","BOS",2,0,0
"67",1,"20022003","ANA","BOS",2,-1,0
"68",0,"20022003","ANA","BOS",2,0,0
"69",0,"20022003","ANA","BOS",2,-1,0
"70",0,"20022003","ANA","BOS",3,-2,0
"71",1,"20022003","ATL","TOR",1,0,0
"72",0,"20022003","ATL","TOR",1,1,0
"73",0,"20022003","ATL","TOR",2,0,0
"74",1,"20022003","ATL","TOR",2,-1,0
"75",1,"20022003","ATL","TOR",3,0,0
"76",0,"20022003","ATL","TOR",3,1,0
"77",1,"20022003","PHX","PHI",1,0,0
"78",0,"20022003","PHX","PHI",2,1,0
"79",0,"20022003","PHX","PHI",2,0,0
"80",1,"20022003","PHX","PHI",2,-1,0
"81",1,"20022003","PHX","PHI",2,0,0
"82",1,"20022003","PHX","PHI",3,1,0
"83",1,"20022003","PHX","PHI",3,2,0
"84",1,"20022003","PHX","PHI",3,3,0
"85",0,"20022003","SJS","MIN",2,0,0
"86",1,"20022003","SJS","MIN",3,-1,0
"87",1,"20022003","SJS","MIN",4,0,0
"88",0,"20022003","LAK","CHI",2,0,0
"89",1,"20022003","LAK","CHI",3,-1,0
"90",1,"20022003","LAK","CHI",4,0,0
"91",1,"20022003","BUF","CGY",1,0,0
"92",1,"20022003","BUF","CGY",1,1,0
"93",1,"20022003","BUF","CGY",2,2,0
"94",0,"20022003","COL","VAN",1,0,0
"95",0,"20022003","COL","VAN",1,-1,0
"96",0,"20022003","COL","VAN",2,-2,0
"97",0,"20022003","COL","VAN",2,-3,0
"98",1,"20022003","COL","VAN",2,-4,0
"99",0,"20022003","COL","VAN",3,-3,0
"100",1,"20022003","TBL","WSH",1,0,0
"101",0,"20022003","TBL","WSH",1,1,0
"102",0,"20022003","TBL","WSH",2,0,0
"103",1,"20022003","TBL","WSH",2,-1,0
"104",1,"20022003","TBL","WSH",3,0,0
"105",0,"20022003","MTL","CAR",1,0,0
"106",1,"20022003","MTL","CAR",1,-1,0
"107",1,"20022003","MTL","CAR",3,0,0
"108",0,"20022003","MTL","CAR",3,1,0
"109",1,"20022003","DAL","CBJ",1,0,0
"110",0,"20022003","DAL","CBJ",2,1,0
"111",1,"20022003","DAL","CBJ",3,0,0
"112",1,"20022003","DAL","CBJ",3,1,0
"113",0,"20022003","DAL","CBJ",3,2,0
"114",1,"20022003","DAL","CBJ",3,1,0
"115",1,"20022003","BUF","EDM",2,0,0
"116",0,"20022003","BUF","EDM",3,1,0
"117",0,"20022003","NYR","BOS",1,0,0
"118",0,"20022003","NYR","BOS",2,-1,0
"119",1,"20022003","NYR","BOS",3,-2,0
"120",1,"20022003","NYR","BOS",3,-1,0
"121",1,"20022003","NYR","BOS",3,0,0
"122",1,"20022003","MTL","TOR",2,0,0
"123",0,"20022003","MTL","TOR",2,1,0
"124",0,"20022003","MTL","TOR",2,0,0
"125",1,"20022003","MTL","TOR",2,-1,0
"126",0,"20022003","MTL","TOR",3,0,0
"127",0,"20022003","MTL","TOR",3,-1,0
"128",0,"20022003","MTL","TOR",3,-2,0
"129",0,"20022003","DET","OTT",1,0,0
"130",1,"20022003","DET","OTT",1,-1,0
"131",1,"20022003","DET","OTT",2,0,0
"132",1,"20022003","DET","OTT",2,1,0
"133",0,"20022003","DET","OTT",3,2,0
"134",1,"20022003","DET","OTT",3,1,0
"135",1,"20022003","DET","OTT",3,2,0
"136",0,"20022003","STL","NYI",2,0,0
"137",0,"20022003","STL","NYI",2,-1,0
"138",0,"20022003","STL","NYI",2,-2,0
"139",1,"20022003","STL","NYI",3,-3,0
"140",0,"20022003","STL","NYI",3,-2,0
"141",0,"20022003","STL","NYI",3,-3,0
"142",0,"20022003","STL","NYI",3,-4,0
"143",1,"20022003","WSH","PHI",2,0,0
"144",1,"20022003","WSH","PHI",2,1,0
"145",0,"20022003","WSH","PHI",3,2,0
"146",1,"20022003","TBL","PIT",1,0,0
"147",1,"20022003","TBL","PIT",1,1,0
"148",0,"20022003","TBL","PIT",2,2,0
"149",1,"20022003","TBL","PIT",3,1,0
"150",0,"20022003","TBL","PIT",3,2,0
"151",0,"20022003","TBL","PIT",3,1,0
"152",1,"20022003","TBL","PIT",3,0,0
"153",1,"20022003","TBL","PIT",3,1,0
"154",0,"20022003","ATL","FLA",2,0,0
"155",1,"20022003","ATL","FLA",2,-1,0
"156",0,"20022003","ATL","FLA",3,0,0
"157",0,"20022003","ATL","FLA",3,-1,0
"158",1,"20022003","VAN","MIN",1,0,0
"159",0,"20022003","VAN","MIN",1,1,0
"160",0,"20022003","VAN","MIN",1,0,0
"161",0,"20022003","VAN","MIN",1,-1,0
"162",1,"20022003","VAN","MIN",1,-2,0
"163",0,"20022003","VAN","MIN",3,-1,0
"164",1,"20022003","COL","CGY",1,0,0
"165",0,"20022003","COL","CGY",1,1,0
"166",0,"20022003","COL","CGY",1,0,0
"167",1,"20022003","COL","CGY",2,-1,0
"168",0,"20022003","COL","CGY",3,0,0
"169",1,"20022003","COL","CGY",3,-1,0
"170",0,"20022003","COL","CGY",3,0,0
"171",1,"20022003","COL","CGY",3,-1,0
"172",1,"20022003","STL","NYR",1,0,0
"173",0,"20022003","STL","NYR",1,1,0
"174",0,"20022003","STL","NYR",1,0,0
"175",1,"20022003","STL","NYR",2,-1,0
"176",0,"20022003","STL","NYR",3,0,0
"177",0,"20022003","DAL","DET",1,0,0
"178",1,"20022003","DAL","DET",1,-1,0
"179",1,"20022003","DAL","DET",2,0,0
"180",0,"20022003","DAL","DET",2,1,0
"181",0,"20022003","DAL","DET",3,0,0
"182",1,"20022003","DAL","DET",3,-1,0
"183",0,"20022003","BUF","CBJ",1,0,0
"184",0,"20022003","BUF","CBJ",1,-1,0
"185",1,"20022003","BUF","CBJ",2,-2,0
"186",1,"20022003","BUF","CBJ",3,-1,0
"187",1,"20022003","BUF","CBJ",3,0,0
"188",0,"20022003","NSH","PHX",1,0,0
"189",1,"20022003","NSH","PHX",2,-1,0
"190",1,"20022003","NSH","PHX",4,0,0
"191",0,"20022003","EDM","CHI",1,0,0
"192",0,"20022003","EDM","CHI",2,-1,0
"193",1,"20022003","EDM","CHI",2,-2,0
"194",0,"20022003","EDM","CHI",2,-1,0
"195",0,"20022003","EDM","CHI",3,-2,0
"196",1,"20022003","SJS","ANA",1,0,0
"197",0,"20022003","SJS","ANA",1,1,0
"198",0,"20022003","SJS","ANA",2,0,0
