Time,KHOU,COAST
1/1/10 15:00,7.1,8222.02942
1/2/10 15:00,9.1,8379.872342
1/3/10 15:00,6.1,8679.087157
1/4/10 15:00,4.1,10273.567
1/5/10 15:00,3.1,10317.80117
1/6/10 15:00,8.1,9982.982917
1/7/10 15:00,7.6,11214.2518
1/8/10 15:00,-1.9,12757.1009
1/9/10 15:00,-0.9,10509.79573
1/10/10 15:00,1.1,9907.056566
1/11/10 15:00,7.1,9758.271886
1/12/10 15:00,12.1,9065.142431
1/14/10 15:00,12.35,9461.299563
1/15/10 15:00,12.1,9866.281672
1/16/10 15:00,9.1,8891.586403
1/17/10 15:00,11.1,8050.663285
1/18/10 15:00,16.1,9058.217323
1/19/10 15:00,19.1,9309.4176
1/20/10 15:00,20.1,9561.486185
1/21/10 15:00,19.1,9642.072929
1/22/10 15:00,18.1,9155.609373
1/23/10 15:00,21.1,8922.04694
1/24/10 15:00,16.1,8129.405876
1/25/10 15:00,13.1,9045.412015
1/26/10 15:00,15.1,8737.142321
1/27/10 15:00,16.1,8870.408835
1/28/10 15:00,16.1,9001.845157
1/29/10 15:00,12.1,9894.641486
1/30/10 15:00,3.1,10160.07454
1/31/10 15:00,3.1,9733.305649
2/1/10 15:00,7.1,10250.22478
2/2/10 15:00,11.1,9323.115857
2/3/10 15:00,9.1,9986.103923
2/4/10 15:00,10.6,9894.342827
2/5/10 15:00,9.85,9158.541836
2/6/10 15:00,11.1,8348.479234
2/7/10 15:00,8.1,8677.120765
2/8/10 15:00,17.1,9447.059035
2/9/10 15:00,8.1,9941.68988
2/10/10 15:00,6.1,10762.94638
2/11/10 15:00,6.1,11269.83829
2/12/10 15:00,3.1,10986.84277
2/13/10 15:00,3.1,9262.766186
2/14/10 15:00,15.1,8365.962615
2/15/10 15:00,5.1,10370.12012
2/16/10 15:00,8.1,9422.015166
2/17/10 15:00,9.1,9366.210373
2/18/10 15:00,11.1,9374.800294
2/19/10 15:00,12.1,9222.723063
2/20/10 15:00,14.1,8408.985587
2/21/10 15:00,17.1,8176.893642
2/22/10 15:00,10.6,9456.80394
2/23/10 15:00,6.1,10791.09114
2/24/10 15:00,7.1,9495.82532
2/25/10 15:00,11.1,9204.328158
2/26/10 15:00,17.1,9436.251996
2/27/10 15:00,11.1,8364.657639
2/28/10 15:00,15.1,8206.720439
3/1/10 15:00,13.1,9738.796242
3/2/10 15:00,9.1,9247.003604
3/3/10 15:00,11.1,9027.652554
3/4/10 15:00,14.1,9165.575005
3/5/10 15:00,15.1,9002.912074
3/6/10 15:00,16.1,8132.889686
3/7/10 15:00,18.1,8085.836456
3/8/10 15:00,16.1,9102.543796
3/9/10 15:00,18.85,9907.196598
3/10/10 15:00,20.6,9849.385093
3/11/10 15:00,17.35,10063.66278
3/12/10 15:00,16.1,8960.204465
3/13/10 15:00,17.1,8302.661103
3/14/10 15:00,18.35,8433.703449
3/15/10 15:00,17.85,9588.474395
3/16/10 15:00,15.1,9190.182863
3/17/10 15:00,16.1,8899.074377
3/18/10 15:00,15.1,9067.986529
3/19/10 15:00,19.1,8863.900805
3/20/10 15:00,18.1,8637.042691
3/21/10 15:00,9.1,8853.704516
3/22/10 15:00,14.1,8984.844459
3/23/10 15:00,19.1,9084.655183
3/24/10 15:00,18.1,8832.646203
3/25/10 15:00,15.1,9014.177572
3/26/10 15:00,16.1,9240.55585
3/27/10 15:00,19.1,8870.772764
3/28/10 15:00,17.1,8190.714383
3/29/10 15:00,17.1,9378.51923
3/30/10 15:00,20.1,9448.74256
3/31/10 15:00,21.1,9595.454583
4/1/10 15:00,22.1,9884.290221
4/2/10 15:00,21.1,9575.828745
4/3/10 15:00,25.1,10796.83164
4/4/10 15:00,21.35,9467.39983
4/5/10 15:00,22.1,11024.90286
4/6/10 15:00,23.1,10878.79051
4/7/10 15:00,23.1,11025.71904
4/8/10 15:00,16.1,9394.237452
4/9/10 15:00,19.1,9586.6258
4/10/10 15:00,18.1,8574.829332
4/11/10 15:00,21.1,8962.686802
4/12/10 15:00,22.1,10142.06969
4/13/10 15:00,22.1,10335.55245
4/14/10 15:00,21.1,10341.29698
4/15/10 15:00,22.1,10393.86197
4/16/10 15:00,22.1,10300.31338
4/17/10 15:00,23.1,9806.316924
4/18/10 15:00,22.1,8727.02588
4/19/10 15:00,17.6,9192.292467
4/20/10 15:00,19.1,9987.505116
4/21/10 15:00,23.1,10337.47941
4/22/10 15:00,23.1,10518.70258
4/23/10 15:00,24.1,11675.48139
4/24/10 15:00,25.1,10737.63791
4/25/10 15:00,24.1,10175.48157
4/26/10 15:00,26.1,12146.29113
4/27/10 15:00,23.1,10340.45281
4/28/10 15:00,23.1,10807.69545
4/29/10 15:00,24.1,11481.91016
4/30/10 15:00,24.1,11348.64718
5/1/10 15:00,28.1,11991.09993
5/2/10 15:00,26.1,11476.11877
5/3/10 15:00,29.1,13296.14495
5/4/10 15:00,26.1,12607.02954
5/5/10 15:00,28.1,13222.0104
5/6/10 15:00,26.1,12943.00771
5/7/10 15:00,27.6,14219.24
5/8/10 15:00,25.1,11020.60797
5/9/10 15:00,23.1,10158.17507
5/10/10 15:00,27.1,13164.34476
5/11/10 15:00,29.1,14008.62612
5/12/10 15:00,28.1,13582.26205
5/13/10 15:00,27.1,12993.40829
5/14/10 15:00,28.1,13473.32493
5/15/10 15:00,21.35,9562.362805
5/16/10 15:00,24.1,12196.28081
5/17/10 15:00,29.1,14350.16155
5/18/10 15:00,27.1,12835.54855
5/19/10 15:00,28.1,13846.4667
5/20/10 15:00,29.1,14062.66195
5/21/10 15:00,28.1,14480.35459
5/22/10 15:00,30.1,13854.89779
5/23/10 15:00,29.1,13751.64518
5/24/10 15:00,29.1,14553.80742
5/25/10 15:00,29.1,14075.36445
5/26/10 15:00,29.1,14868.23736
5/27/10 15:00,29.1,15172.29332
5/28/10 15:00,32.1,16050.06422
5/29/10 15:00,32.1,15108.32954
5/30/10 15:00,30.1,14003.42889
5/31/10 15:00,29.1,14697.8697
6/1/10 15:00,29.1,15307.33522
6/2/10 15:00,31.1,15462.2369
6/3/10 15:00,24.1,11924.56003
6/4/10 15:00,25.6,13780.87734
6/5/10 15:00,30.1,14591.92603
6/6/10 15:00,31.1,15122.96591
6/7/10 15:00,28.6,14019.22571
6/8/10 15:00,23.35,12508.65324
6/9/10 15:00,31.1,15286.9835
6/10/10 15:00,31.1,15578.16733
6/11/10 15:00,31.1,15772.18552
6/12/10 15:00,32.1,15076.57145
6/13/10 15:00,30.35,15242.97416
6/14/10 15:00,30.1,16516.01744
6/15/10 15:00,31.1,15689.19505
6/16/10 15:00,31.1,16590.52063
6/17/10 15:00,32.1,16401.1136
6/18/10 15:00,31.1,16692.96836
6/19/10 15:00,31.1,16279.37889
6/20/10 15:00,31.1,16038.70575
6/21/10 15:00,31.1,17234.00842
6/22/10 15:00,32.1,17177.05421
6/23/10 15:00,32.1,15507.62319
6/24/10 15:00,28.1,14589.41202
6/25/10 15:00,31.1,15061.60303
6/26/10 15:00,31.1,15822.94235
6/27/10 15:00,32.1,15779.66542
6/28/10 15:00,30.1,15257.13201
6/29/10 15:00,30.1,15426.07291
6/30/10 15:00,27.1,12973.91848
7/1/10 15:00,28.1,12034.50392
7/2/10 15:00,28.1,12004.98396
7/3/10 15:00,31.1,12364.94494
7/4/10 15:00,31.1,14056.4236
7/5/10 15:00,31.1,15634.04334
7/6/10 15:00,31.1,15706.18677
7/7/10 15:00,27.85,13205.78063
7/8/10 15:00,27.1,11848.23048
7/9/10 15:00,29.1,14521.1624
7/10/10 15:00,30.1,14855.04671
7/11/10 15:00,29.6,14887.63324
7/12/10 15:00,31.1,16147.36282
7/13/10 15:00,31.1,16356.18805
7/14/10 15:00,31.1,16486.24337
7/15/10 15:00,31.1,16575.212
7/16/10 15:00,31.1,16603.96623
7/17/10 15:00,31.1,15479.18013
7/18/10 15:00,30.1,13795.4714
7/19/10 15:00,29.1,13396.00955
7/20/10 15:00,30.1,14963.40615
7/21/10 15:00,30.1,15348.38728
7/22/10 15:00,30.1,15261.48631
7/23/10 15:00,31.1,15764.05729
7/24/10 15:00,30.1,15220.80316
7/25/10 15:00,32.1,15314.22396
7/26/10 15:00,31.1,15100.31214
7/27/10 15:00,29.1,13739.14177
7/28/10 15:00,29.1,13599.17645
7/29/10 15:00,31.1,15838.50598
7/30/10 15:00,30.1,16435.10677
7/31/10 15:00,29.6,15646.60854
8/1/10 15:00,31.1,15949.0938
8/2/10 15:00,32.1,17173.8768
8/3/10 15:00,32.1,17309.64922
8/4/10 15:00,32.1,17269.52121
8/5/10 15:00,32.1,17044.50253
8/6/10 15:00,31.1,16604.22352
