loan,hh,village,religion,roof,rooms,beds,electricity,ownership,leader
0,1001,1,hindu,tile,3,4,0,OWNED,0
0,1002,1,hindu,tile,1,1,1,OWNED,1
0,1003,1,hindu,rcc,3,4,1,OWNED,1
0,1004,1,hindu,tile,2,6,1,OWNED,0
0,1005,1,hindu,tile,3,4,1,OWNED,0
0,1006,1,hindu,stone,2,1,1,OWNED,0
1,1007,1,hindu,stone,3,5,1,OWNED,0
1,1008,1,hindu,sheet,2,1,1,OWNED,0
0,1009,1,hindu,tile,2,7,1,GOVERNMENT,0
0,1010,1,hindu,stone,2,1,1,OWNED,0
0,1011,1,hindu,tile,2,0,1,OWNED,0
0,1012,1,hindu,tile,2,2,1,OWNED,0
0,1013,1,hindu,sheet,1,4,1,GOVERNMENT,0
0,1014,1,hindu,tile,2,0,1,OWNED,0
0,1015,1,hindu,sheet,2,0,1,OWNED,1
1,1016,1,hindu,sheet,1,0,1,OWNED,0
0,1017,1,hindu,tile,2,3,1,OWNED,0
1,1018,1,hindu,sheet,3,0,1,OWNED,1
1,1019,1,hindu,stone,3,2,1,OWNED,0
0,1020,1,hindu,stone,3,2,1,OWNED,0
0,1021,1,hindu,stone,2,0,1,OWNED,0
0,1022,1,hindu,stone,2,4,1,GOVERNMENT,0
0,1023,1,hindu,stone,2,2,1,OWNED,0
0,1024,1,hindu,sheet,1,1,1,OWNED,1
0,1025,1,hindu,sheet,2,0,1,OWNED,0
0,1026,1,hindu,sheet,2,3,1,GOVERNMENT,0
0,1027,1,hindu,sheet,1,1,1,GOVERNMENT,0
0,1028,1,hindu,sheet,2,2,1,GOVERNMENT,1
0,1029,1,hindu,sheet,3,2,0,OWNED,0
0,1030,1,hindu,sheet,4,2,1,GOVERNMENT,0
0,1031,1,hindu,sheet,2,0,1,OWNED,0
0,1032,1,hindu,sheet,2,2,1,GOVERNMENT,0
0,1033,1,hindu,sheet,2,0,1,OWNED,0
1,1034,1,hindu,sheet,2,2,1,GOVERNMENT,0
1,1035,1,hindu,tile,2,2,1,GOVERNMENT,0
0,1036,1,hindu,sheet,2,0,1,GOVERNMENT,1
0,1037,1,hindu,sheet,2,2,0,OWNED,0
0,1038,1,hindu,sheet,1,1,1,OWNED,0
0,1039,1,hindu,sheet,2,2,1,OWNED,0
0,1040,1,hindu,sheet,3,2,1,GOVERNMENT,0
0,1041,1,islam,sheet,2,0,1,GOVERNMENT,1
1,1042,1,hindu,sheet,2,0,1,OWNED,1
1,1043,1,hindu,sheet,2,2,1,OWNED,0
0,1044,1,hindu,sheet,3,2,0,GOVERNMENT,1
1,1045,1,hindu,sheet,2,2,1,OWNED,0
0,1046,1,hindu,sheet,2,2,1,OWNED,0
0,1047,1,hindu,tile,2,2,1,GOVERNMENT,0
1,1048,1,hindu,sheet,2,2,1,GOVERNMENT,0
1,1049,1,hindu,sheet,3,2,1,OWNED,0
1,1050,1,hindu,sheet,3,2,1,OWNED,0
0,1051,1,hindu,sheet,2,1,1,OWNED,0
0,1052,1,hindu,sheet,2,2,1,GOVERNMENT,0
1,1053,1,hindu,sheet,2,4,1,GOVERNMENT,0
1,1054,1,hindu,thatch,0,0,0,OWNED,0
0,1055,1,hindu,other,5,4,1,OWNED,0
0,1056,1,hindu,stone,3,5,1,OWNED,1
0,1057,1,hindu,stone,1,0,1,OWNED,0
0,1058,1,hindu,other,5,0,1,RENTED,0
1,1059,1,hindu,other,3,0,1,OWNED,1
0,1060,1,hindu,other,3,0,1,OWNED,0
0,1061,1,hindu,stone,1,0,1,RENTED,1
0,1062,1,hindu,stone,2,0,1,OWNED,0
1,1063,1,hindu,other,3,1,1,OWNED,0
0,1064,1,hindu,other,3,0,1,OWNED,0
0,1065,1,hindu,stone,3,0,1,OWNED,0
0,1066,1,hindu,other,4,0,1,OWNED,0
0,1067,1,hindu,other,1,0,1,OWNED,0
