locus_of_control,self_concept,motivation,read,write,math,science,female
-.84,-.24,1,54.8,64.5,44.5,52.6,1
-.38,-.47,.67,62.7,43.7,44.7,52.6,1
.89,.59,.67,60.6,56.7,70.5,58,0
.71,.28,.67,62.7,56.7,54.7,58,0
-.64,.03,1,41.6,46.3,38.4,36.3,1
1.11,.9,.33,62.7,64.5,61.4,58,1
.06,.03,.67,41.6,39.1,56.3,45,0
-.91,-.59,.67,44.2,39.1,46.3,36.3,0
.45,.03,1,62.7,51.5,54.4,49.8,1
0,.03,.67,62.7,64.5,38.3,55.8,1
.24,-.43,.33,70.7,43.7,58.8,66.1,0
-1.09,-.26,.33,44.2,41.1,45.1,47.1,0
.46,.03,.67,57.4,59.3,53.9,49.8,1
.68,.06,.67,49.5,51.5,41.2,41.7,1
-.14,-1.05,1,70.7,65.1,66.4,63.4,1
.1,-.16,.33,49.5,59.3,51,47.1,0
.45,.65,1,57.4,56.7,46.9,52.6,1
-1.56,.03,.33,62.7,54.1,53,55.3,1
-1.02,-1.67,.67,45.3,43,52.3,60.7,1
.94,.03,1,68,56.7,59.6,58,1
-.4,.03,1,44.2,54.1,59.3,58,1
-.19,-1.73,1,44.7,47.6,50.3,39,1
.26,.03,.33,48.4,48.9,52.2,43.9,0
.21,.94,0,38.9,48.9,41.8,58.5,0
.7,.87,1,46.9,54.1,46.4,49.8,1
1.36,.94,1,57.4,64.5,49.9,55.3,1
-.84,-.57,.33,33.6,33.3,41,36.3,0
-.68,.03,.33,38.9,38.5,41.2,39,1
-.17,.31,1,65.4,67.1,75.5,71.5,0
.06,.28,1,60.1,59.3,56.2,60.7,1
-.14,.56,1,54.8,61.9,54.6,47.1,1
.96,.03,.67,44.2,51.5,43.2,44.4,1
.23,-.26,0,52.1,61.9,56.3,58,1
.66,0,1,52.1,48.9,48.5,44.4,1
.08,.59,1,57.4,56.7,53.9,60.7,1
-.9,.03,.67,36.3,44.3,36.1,33.6,1
.06,.03,.67,62.7,61.9,58.8,60.7,1
.04,-.47,.67,33.6,59.3,44.7,47.1,1
.66,.34,1,60.1,51.5,53,63.4,0
.46,.03,1,57.4,67.1,47.7,55.8,1
-.14,-.24,.67,54.8,38.5,57,52.6,0
.26,-.57,1,41.6,58.6,54.6,55.3,1
.02,-.14,0,60.1,64.5,67,58.5,1
1.11,.34,1,65.4,64.5,64.1,66.1,0
1.16,-.81,.67,65.4,64.5,48,63.4,0
-.4,.65,.67,44.2,43.7,38.6,33.6,0
-.38,.34,.67,38.9,28.1,35.3,39,0
1.13,.03,1,38.9,54.1,47.5,49.8,0
.08,.94,.33,49.5,52.8,50.6,48.8,0
.06,.94,1,52.1,51.5,57.9,60.7,0
-.64,-.51,.67,49.5,56.7,47.7,44.4,1
.46,.03,1,70.7,56.7,51.3,71.5,0
-1.13,-.55,.33,44.2,46.9,45.5,39,0
-1.05,-1.65,0,46.9,46.3,38.6,47.1,1
-.84,.03,0,36.3,59.3,47.7,39,1
.06,.65,.33,47.4,64.5,53.9,55.8,1
-1.3,.13,.33,44.2,41.1,51.8,47.1,0
.91,-.47,.67,44.2,41.1,50.5,58,0
.28,.03,1,54.8,59.3,49.5,63.4,0
-.4,.03,0,54.8,49.5,55.3,47.1,1
-.86,.28,1,36.3,48.9,54.4,60.7,0
.46,.94,1,65.4,61.9,67.9,66.1,0
.5,-.22,1,54.8,61.9,61.3,60.7,1
.27,-1.05,.33,60.1,54.1,56.3,55.3,0
-.86,1.19,.33,33.6,28.1,31.8,39.6,0
-.89,.56,.33,44.2,41.1,40.3,49.8,0
-1.28,1.19,1,41.6,41.1,45.9,44.4,0
1.36,.87,1,36.3,43.7,37.2,41.7,1
.46,.65,1,49.5,48.9,60.5,55.3,0
.25,-.26,.33,49.5,30.7,40.3,33.6,0
.23,.03,1,62.7,61.9,55.5,55.3,1
-1.33,-.6,.33,34.7,35.2,40.2,50.9,1
.32,-1.17,.33,52.1,54.1,58.1,47.1,1
-.44,-.31,.67,49.5,59.3,42.1,52.6,0
.25,.65,0,49.5,48.9,50.4,63.4,0
-.37,-1.9,.67,54.8,36.5,37.7,49.8,0
.06,1.19,1,65.4,64.5,67.9,63.4,0
-.6,.32,1,38.9,56.7,41.2,33.6,1
.71,.03,.33,46.9,59.3,63,52.6,0
-1.78,.56,1,28.3,46.3,42.8,44.4,1
.04,.03,.67,65.4,51.5,61.2,68.8,0
.66,-.6,0,42.6,56.7,40.3,49.8,1
-1.09,-.9,.67,57.4,59.9,50.5,52.6,1
.06,.03,1,62.7,64.5,71.3,55.3,0
-.66,-.08,1,44.7,33.3,33.7,39,0
.71,1.19,.67,54.8,48.9,52.4,58,0
.75,1.19,1,68,61.9,52.2,60.7,0
.06,-.6,.67,62.7,56,57.3,60.7,1
.43,-1.09,.67,63.3,64.5,52.1,58,1
.3,.56,1,44.2,33.3,37.7,30.9,0
.26,.94,0,54.8,38.5,46.8,36.3,1
.46,-.3,1,53.2,60.6,61.2,56.9,0
-.9,-2.54,0,44.2,43.7,40.2,39.6,1
-.19,-.73,.67,73.3,60.6,64.7,66.1,0
