"id","name","sex","age","height","weight","team","noc","games","year","season","city","sport","event","medal"
16,"Juhamatti Tapio Aaltonen","M",28,184,85,"Finland","FIN","2014 Winter",2014,"Winter","Sochi","Ice Hockey","Ice Hockey Men's Ice Hockey","Bronze"
17,"Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Individual All-Around","Bronze"
17,"Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Team All-Around","Gold"
17,"Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Horse Vault","Gold"
17,"Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Pommelled Horse","Gold"
17,"Paavo Johannes Aaltonen","M",32,175,64,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Team All-Around","Bronze"
30,"Pepijn Aardewijn","M",26,189,72,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Rowing","Rowing Men's Lightweight Double Sculls","Silver"
37,"Ann Kristin Aarnes","F",23,182,64,"Norway","NOR","1996 Summer",1996,"Summer","Atlanta","Football","Football Women's Football","Bronze"
62,"Giovanni Abagnale","M",21,198,90,"Italy","ITA","2016 Summer",2016,"Summer","Rio de Janeiro","Rowing","Rowing Men's Coxless Pairs","Bronze"
63,"Jos Luis Abajo Gmez","M",30,194,87,"Spain","ESP","2008 Summer",2008,"Summer","Beijing","Fencing","Fencing Men's epee, Individual","Bronze"
67,"Mariya Vasilyevna Abakumova (-Tarabina)","F",22,179,80,"Russia","RUS","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Javelin Throw","Silver"
72,"Aleksey Aleksandrovich Abalmasov","M",28,180,83,"Belarus","BLR","2008 Summer",2008,"Summer","Beijing","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Gold"
73,"Luc Abalo","M",23,182,86,"France","FRA","2008 Summer",2008,"Summer","Beijing","Handball","Handball Men's Handball","Gold"
73,"Luc Abalo","M",27,182,86,"France","FRA","2012 Summer",2012,"Summer","London","Handball","Handball Men's Handball","Gold"
73,"Luc Abalo","M",31,182,86,"France","FRA","2016 Summer",2016,"Summer","Rio de Janeiro","Handball","Handball Men's Handball","Silver"
