"","chatter","current_events","travel","photo_sharing","uncategorized","tv_film","sports_fandom","politics","food","family","home_and_garden","music","news","online_gaming","shopping","health_nutrition","college_uni","sports_playing","cooking","eco","computers","business","outdoors","crafts","automotive","art","religion","beauty","parenting","dating","school","personal_fitness","fashion","small_business","spam","adult"
"hmjoe4g3k",2,0,2,2,2,1,1,0,4,1,2,0,0,0,1,17,0,2,5,1,1,0,2,1,0,0,1,0,1,1,0,11,0,0,0,0
"clk1m5w8s",3,3,2,1,1,1,4,1,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,4,0,0,0,0,0
"jcsovtak3",6,3,4,3,1,5,0,2,1,1,1,1,1,0,2,0,0,0,2,1,0,0,0,2,0,8,0,1,0,1,0,0,1,0,0,0
"3oeb4hiln",1,5,2,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0
"fd75x1vgk",5,2,0,6,1,0,0,2,0,1,0,0,0,3,2,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"h6nvj91yp",6,4,2,7,0,1,1,0,2,1,1,1,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ma7kfewxq",1,2,7,1,0,1,1,11,1,0,0,0,1,0,1,1,1,1,1,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"u48d61ztj",5,3,3,6,1,1,1,0,0,0,0,2,0,1,3,1,0,0,10,0,1,0,0,1,1,0,0,5,1,0,0,0,4,0,0,0
"y2g68vhkf",6,2,0,1,0,0,0,0,2,2,1,1,0,2,0,22,1,0,5,2,1,1,3,0,0,1,0,5,0,0,1,12,3,1,0,0
"n467yj1st",5,2,4,4,0,5,9,1,5,4,0,1,0,1,0,7,4,1,4,1,2,0,0,0,4,0,13,1,3,0,3,2,1,0,0,0
"q9d8z4fyt",2,0,2,5,0,1,4,0,1,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4,0,1,3,4,0,1,2,0,0
"l38sqjp9e",2,2,0,2,0,3,5,4,5,9,1,1,3,0,0,1,0,0,0,1,0,0,0,0,4,0,11,1,10,0,6,1,0,1,0,4
"h9ntdqc4u",8,4,0,9,0,1,2,2,4,1,0,1,1,0,8,5,0,1,4,2,0,0,1,1,0,0,0,0,2,0,3,1,1,0,0,0
"zm8kt97ic",1,0,0,1,0,0,2,0,1,0,3,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,2,1,1,0,0,0,2,1,0,0
"4odi1h6wq",3,4,1,2,1,1,0,0,0,0,0,0,2,0,1,4,0,0,3,1,1,0,2,0,0,1,0,0,0,1,0,5,0,0,0,0
"6vyz8cwje",9,0,0,2,0,0,0,1,0,2,0,1,2,5,2,0,2,1,2,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0
"n91fxzjl5",1,0,9,1,1,0,2,4,0,1,0,0,4,0,1,1,0,2,1,0,1,0,0,0,1,0,4,1,2,1,0,1,0,0,0,0
"4wdj6slyu",1,5,3,1,1,0,0,4,2,1,0,0,5,0,0,0,2,0,1,0,5,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0
"3pifxrgs1",3,0,0,2,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"31mlkes2x",10,1,0,6,1,0,0,3,0,0,1,0,0,7,1,0,4,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,2,0,0
"2n471r3hv",9,1,0,6,3,8,3,1,5,1,1,10,0,1,6,2,6,0,1,0,1,1,1,0,0,1,1,0,0,1,2,1,2,4,0,0
"pntrbqmyo",13,2,0,6,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"g9xyksvu2",13,0,4,7,2,1,0,2,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0
"znu9lvmbw",4,0,0,1,0,0,0,0,1,0,0,1,2,0,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"64qgjkp2c",0,1,2,1,1,0,1,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"rk1fcwuay",3,1,0,0,1,1,4,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,1,0,0,0,0,0
"9ibsc4f56",3,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"tmf4x9sbh",7,2,7,3,4,9,3,8,5,3,1,0,8,1,1,15,3,1,1,3,1,0,3,1,7,13,4,2,3,1,3,4,2,3,0,0
"yrxhg97pq",2,0,0,0,3,0,1,1,2,2,0,0,0,0,1,8,1,0,1,0,0,0,0,0,0,1,5,1,4,1,0,0,0,0,0,0
"clar3q5xt",10,3,1,9,1,0,1,1,0,0,0,0,0,1,6,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0
"9nsby7rfw",7,5,3,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"tsezro84a",15,3,0,15,2,0,0,2,0,0,2,1,1,0,7,1,2,0,23,0,1,2,1,0,0,0,0,8,1,1,3,1,15,1,0,0
"nqcwd7lez",1,1,1,4,1,1,0,0,1,1,0,1,0,5,1,0,2,3,6,0,0,0,2,0,1,1,0,3,0,0,1,1,5,0,0,0
"xfpi6v3cz",2,1,0,1,2,1,12,0,1,2,0,0,1,1,0,2,1,1,0,0,0,0,1,0,2,0,3,0,2,0,1,1,1,0,0,0
"mieb19fnc",4,0,2,4,1,0,2,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"s7rpq6c9g",3,1,0,1,0,1,0,0,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"rek4imgp8",8,3,1,0,0,2,3,6,1,0,0,0,8,2,1,2,0,1,0,0,0,0,1,2,6,1,1,2,0,8,1,0,4,1,0,0
"z6uvdwhbe",5,3,2,3,0,0,1,9,0,1,0,0,1,1,1,0,0,0,0,0,4,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0
"qg1jsawuy",8,0,2,4,1,3,2,0,1,2,1,0,0,0,0,11,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0
"lv7s9u8xp",4,2,1,3,1,1,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"wo3bsa5vx",3,3,2,1,0,0,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"7n3a8kem9",0,2,9,2,0,1,0,9,0,2,1,1,7,0,0,1,2,0,1,0,4,2,2,1,3,1,3,0,2,3,0,0,1,1,0,0
"2j9pkc8n6",8,1,2,5,0,2,1,4,0,1,0,0,2,5,0,5,9,2,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"j9sgq3bz2",4,0,1,4,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"rixsz4kd1",3,2,0,8,4,1,3,2,2,0,0,1,0,1,3,13,1,1,9,1,0,1,1,0,0,0,0,6,0,0,0,7,6,0,0,0
"617fv5iyo",3,3,15,4,1,0,2,17,3,0,0,4,6,1,3,17,2,1,3,0,6,0,2,0,0,0,0,0,0,6,2,3,2,0,0,0
"jfykhpt1c",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"y6tboa7cj",2,2,3,2,0,0,8,0,8,2,3,0,2,0,1,12,0,1,3,0,0,0,1,0,0,2,6,0,4,1,1,0,0,0,0,0
"su164zqjk",1,2,2,0,0,1,0,0,0,0,2,0,0,0,0,4,1,0,0,1,0,0,2,0,0,3,0,0,0,1,0,3,1,0,0,0
"is65bq9kp",6,2,10,2,1,6,4,9,2,1,0,2,8,2,0,1,1,1,1,0,0,0,3,1,7,7,0,0,2,0,0,1,0,0,0,0
