"partner","year","partner_name","product","product_name","partner_report_export","US_report_import","pop2000","region","govthonesty","distcap","gdppcus2000","met"
"ARE",1998,"United Arab Emirates","950341","Toys representing animals or non-hu",0,1.06,3247000,7,0.719215393066406,11359.12109375,70591420000,0
"ARE",2000,"United Arab Emirates","950349","Toys representing animals or non-hu",0,12.012,3247000,7,0.615375816822052,11359.12109375,70591420000,0
"ARE",2003,"United Arab Emirates","950349","Toys representing animals or non-hu",0,4.65,3247000,7,1.17220807075500,11359.12109375,70591420000,0
"ARE",2005,"United Arab Emirates","950320","Reduced-size (""scale"") model assemb",0,49.236,3247000,7,1.12900030612946,11359.12109375,70591420000,0
"ARG",1996,"Argentina","950341","Toys representing animals or non-hu",14.718,0,36895710,2,-0.117013528943062,8403.2255859375,284203700000,0
"ARG",1996,"Argentina","950310","Electric trains, including tracks,",0,10.85,36895710,2,-0.117013528943062,8403.2255859375,284203700000,0
"ARG",1996,"Argentina","950320","Reduced-size (""scale"") model assemb",31,0,36895710,2,-0.117013528943062,8403.2255859375,284203700000,0
"ARG",1997,"Argentina","950349","Toys representing animals or non-hu",0,3.708,36895710,2,-0.204693377017975,8403.2255859375,284203700000,0
"ARG",1997,"Argentina","950320","Reduced-size (""scale"") model assemb",297.041,8.729,36895710,2,-0.204693377017975,8403.2255859375,284203700000,0
"ARG",1997,"Argentina","950299","Parts and accessories :-- Other",0,120.419,36895710,2,-0.204693377017975,8403.2255859375,284203700000,0
"ARG",1998,"Argentina","950349","Toys representing animals or non-hu",44.919,189.175,36895710,2,-0.292373210191727,8403.2255859375,284203700000,0
"ARG",1998,"Argentina","950291","Parts and accessories :-- Garments",0,12.76,36895710,2,-0.292373210191727,8403.2255859375,284203700000,0
"ARG",1998,"Argentina","950341","Toys representing animals or non-hu",13.093,0,36895710,2,-0.292373210191727,8403.2255859375,284203700000,0
"ARG",1998,"Argentina","950320","Reduced-size (""scale"") model assemb",478.464,1.874,36895710,2,-0.292373210191727,8403.2255859375,284203700000,0
"ARG",1998,"Argentina","950299","Parts and accessories :-- Other",0,109.619,36895710,2,-0.292373210191727,8403.2255859375,284203700000,0
"ARG",1999,"Argentina","950299","Parts and accessories :-- Other",0,286.81,36895710,2,-0.345695942640305,8403.2255859375,284203700000,0
"ARG",1999,"Argentina","950349","Toys representing animals or non-hu",0,82.52,36895710,2,-0.345695942640305,8403.2255859375,284203700000,0
"ARG",1999,"Argentina","950291","Parts and accessories :-- Garments",0,37.067,36895710,2,-0.345695942640305,8403.2255859375,284203700000,0
"ARG",1999,"Argentina","950320","Reduced-size (""scale"") model assemb",899.46,0,36895710,2,-0.345695942640305,8403.2255859375,284203700000,0
"ARG",2000,"Argentina","950299","Parts and accessories :-- Other",0,536.258,36895710,2,-0.399018675088882,8403.2255859375,284203700000,0
"ARG",2000,"Argentina","950349","Toys representing animals or non-hu",121.792,139.85,36895710,2,-0.399018675088882,8403.2255859375,284203700000,0
"ARG",2000,"Argentina","950320","Reduced-size (""scale"") model assemb",1507.545,0,36895710,2,-0.399018675088882,8403.2255859375,284203700000,0
"ARG",2000,"Argentina","950341","Toys representing animals or non-hu",14.685,0,36895710,2,-0.399018675088882,8403.2255859375,284203700000,0
"ARG",2000,"Argentina","950291","Parts and accessories :-- Garments",0,9.072,36895710,2,-0.399018675088882,8403.2255859375,284203700000,0
"ARG",2001,"Argentina","950320","Reduced-size (""scale"") model assemb",225.194,0,36895710,2,-0.606216847896576,8403.2255859375,284203700000,0
"ARG",2001,"Argentina","950299","Parts and accessories :-- Other",1.479,235.63,36895710,2,-0.606216847896576,8403.2255859375,284203700000,0
"ARG",2002,"Argentina","950330","Other construction sets and constru",0,28.22,36895710,2,-0.813414990901947,8403.2255859375,284203700000,0
"ARG",2002,"Argentina","950310","Electric trains, including tracks,",0,0.536,36895710,2,-0.813414990901947,8403.2255859375,284203700000,0
"ARG",2002,"Argentina","950320","Reduced-size (""scale"") model assemb",5.196,35.119,36895710,2,-0.813414990901947,8403.2255859375,284203700000,0
"ARG",2002,"Argentina","950341","Toys representing animals or non-hu",0.845,4.525,36895710,2,-0.813414990901947,8403.2255859375,284203700000,0
"ARG",2003,"Argentina","950341","Toys representing animals or non-hu",2.607,3.112,36895710,2,-0.461061298847198,8403.2255859375,284203700000,0
"ARG",2003,"Argentina","950349","Toys representing animals or non-hu",0.52,2.876,36895710,2,-0.461061298847198,8403.2255859375,284203700000,0
"ARG",2003,"Argentina","950330","Other construction sets and constru",2.95,2.59,36895710,2,-0.461061298847198,8403.2255859375,284203700000,0
"ARG",2003,"Argentina","950310","Electric trains, including tracks,",0.35,0,36895710,2,-0.461061298847198,8403.2255859375,284203700000,0
"ARG",2003,"Argentina","950320","Reduced-size (""scale"") model assemb",61.794,86.964,36895710,2,-0.461061298847198,8403.2255859375,284203700000,0
"ARG",2004,"Argentina","950341","Toys representing animals or non-hu",3.074,32.011,36895710,2,-0.497142821550369,8403.2255859375,284203700000,0
"ARG",2004,"Argentina","950320","Reduced-size (""scale"") model assemb",39.263,57.117,36895710,2,-0.497142821550369,8403.2255859375,284203700000,0
"ARG",2004,"Argentina","950349","Toys representing animals or non-hu",1.122,15.259,36895710,2,-0.497142821550369,8403.2255859375,284203700000,0
"ARG",2004,"Argentina","950330","Other construction sets and constru",0,10.175,36895710,2,-0.497142821550369,8403.2255859375,284203700000,0
"ARG",2005,"Argentina","950349","Toys representing animals or non-hu",2.979,10.251,36895710,2,-0.438772290945053,8403.2255859375,284203700000,0
"ARG",2005,"Argentina","950341","Toys representing animals or non-hu",1.509,0,36895710,2,-0.438772290945053,8403.2255859375,284203700000,0
