fips,State,Area_name,rural_urban_code,pop2018,unemp2018,median_income2018,percent_college2018
1001,AL,Autauga County,2,55601,3.6,59338,27.7
1003,AL,Baldwin County,3,218022,3.6,57588,31.3
1005,AL,Barbour County,6,24881,5.2,34382,12.2
1007,AL,Bibb County,1,22400,4,46064,11.5
1009,AL,Blount County,1,57840,3.5,50412,12.6
1011,AL,Bullock County,6,10138,4.7,29267,13.3
1013,AL,Butler County,6,19680,4.8,37365,16.1
1015,AL,Calhoun County,3,114277,4.7,45400,18
1017,AL,Chambers County,6,33615,3.9,39917,13.2
1019,AL,Cherokee County,6,26032,3.6,42132,12.9
1021,AL,Chilton County,1,44153,3.6,47547,14.2
1023,AL,Choctaw County,9,12841,5.5,39907,13
1025,AL,Clarke County,7,23920,7.5,40741,12.6
1027,AL,Clay County,9,13275,3.9,39201,10.2
1029,AL,Cleburne County,8,14987,4.2,46495,13.7
1031,AL,Coffee County,4,51909,3.9,55122,23.4
1033,AL,Colbert County,3,54762,4.6,49055,18.7
1035,AL,Conecuh County,7,12277,5.2,32613,10.7
1037,AL,Coosa County,8,10715,4.2,42423,11.6
1039,AL,Covington County,6,36986,4.6,40203,14.9
1041,AL,Crenshaw County,8,13824,4.1,39057,15.6
1043,AL,Cullman County,4,83442,3.3,45796,13.7
1045,AL,Dale County,4,48956,4.2,45309,17
1047,AL,Dallas County,4,38310,6.5,34035,15.1
1049,AL,DeKalb County,6,71385,3.8,39491,12.7
1051,AL,Elmore County,2,81887,3.4,60367,24.5
1053,AL,Escambia County,6,36748,4.6,38418,12.7
1055,AL,Etowah County,3,102501,4.1,44903,17.7
1057,AL,Fayette County,6,16433,4.1,39254,12.9
1059,AL,Franklin County,6,31363,3.7,39388,12.9
1061,AL,Geneva County,3,26314,3.9,37823,11.1
1063,AL,Greene County,8,8233,6.7,28524,10.1
1065,AL,Hale County,3,14726,5.1,34724,14.1
1067,AL,Henry County,3,17209,4.4,46027,18
1069,AL,Houston County,3,104722,4,47993,21
1071,AL,Jackson County,6,51736,4.1,41929,14.2
1073,AL,Jefferson County,1,659300,3.7,55013,32.4
1075,AL,Lamar County,8,13844,3.8,40936,12.5
1077,AL,Lauderdale County,3,92387,4.2,48707,23.9
1079,AL,Lawrence County,3,32957,4.2,43909,11.7
1081,AL,Lee County,3,163941,3.6,48937,34.1
1083,AL,Limestone County,2,96174,3.5,64863,25.5
1085,AL,Lowndes County,2,9974,7.3,33973,14.1
1087,AL,Macon County,6,18439,5.5,32495,20.7
1089,AL,Madison County,2,366519,3.5,63755,41.7
1091,AL,Marengo County,7,19066,5,37733,15.4
1093,AL,Marion County,7,29763,4.1,37887,13.1
1095,AL,Marshall County,4,96109,3.4,46233,19.2
