"Year","Month","Day","Temp.SanDiego","Temp.RapidCity"
1995,1,1,55,12.6
1995,1,2,53.1,19.9
1995,1,3,55.4,9.2
1995,1,4,54.2,6.2
1995,1,5,57.7,16
1995,1,6,55.6,17.8
1995,1,7,56.3,19.8
1995,1,8,59.8,24.2
1995,1,9,59.6,36.3
1995,1,10,56.8,45.4
1995,1,11,58.3,50.9
1995,1,12,58.3,42.8
1995,1,13,58.8,36.4
1995,1,14,58.5,25.9
1995,1,15,58.1,25.4
1995,1,16,54.6,24.5
1995,1,17,53.6,22.7
1995,1,18,52.9,25.8
1995,1,19,53.4,33
1995,1,20,54.7,33.7
1995,1,21,55.3,22.7
1995,1,22,54.2,24.8
1995,1,23,58.5,25.5
1995,1,24,58.9,30.3
1995,1,25,57.9,25.4
1995,1,26,56.5,31.4
1995,1,27,55.4,34.6
1995,1,28,55.9,34
1995,1,29,57.2,30.7
1995,1,30,58.2,35.2
1995,1,31,61.8,44
1995,2,1,61.5,49.1
1995,2,2,63.3,42.1
1995,2,3,63.7,36.9
1995,2,4,62.6,38.1
1995,2,5,56.6,35.3
1995,2,6,55.2,30.1
1995,2,7,56.8,25.9
1995,2,8,58.2,26.8
1995,2,9,57.9,33.3
1995,2,10,56.6,26.2
1995,2,11,58.2,11.5
1995,2,12,57.4,7.6
1995,2,13,58,2.7
1995,2,14,60,13.3
1995,2,15,60.4,8.2
1995,2,16,57.7,23.7
1995,2,17,60.5,36.9
1995,2,18,60.3,46.9
1995,2,19,66.9,41.9
1995,2,20,72.7,49.6
1995,2,21,63.5,52
1995,2,22,61.1,48.9
1995,2,23,61.6,38
1995,2,24,60.7,43.3
1995,2,25,60.6,54
1995,2,26,60.7,38.1
1995,2,27,60.3,20.9
1995,2,28,60.5,8.7
1995,3,1,58.5,3.7
1995,3,2,58.5,9
1995,3,3,61.4,20.2
1995,3,4,61.2,14
1995,3,5,61.5,1.3
1995,3,6,60.8,-1.8
1995,3,7,58.9,-2.1
1995,3,8,60,4.8
1995,3,9,61.1,27.5
1995,3,10,63.7,49.7
1995,3,11,62,55.9
1995,3,12,58.7,52.9
1995,3,13,59.3,49.8
1995,3,14,61.5,49.9
1995,3,15,63.1,50.1
1995,3,16,62.1,52.4
1995,3,17,60.8,37.7
1995,3,18,62.2,40.5
1995,3,19,61.9,52.1
1995,3,20,62.3,42.9
